encoder,pc1,pc2,pc3,task,brightness
A_recon,-2.6867547,0.2150824,-0.72264254,0.5118216,0.81064844
A_recon,0.22036123,-0.4356897,0.32449496,0.9504637,0.48836908
A_recon,0.04524994,1.0570176,0.61092234,0.14415962,0.4231274
A_recon,-2.038526,1.0986962,0.36352152,0.94864947,0.65009093
A_recon,2.085024,0.54635566,-0.8072367,0.31183144,0.33786428
A_recon,0.4565029,1.2518684,-0.57951117,0.42332646,0.4525682
A_recon,-1.8852344,-1.5248349,0.36145532,0.8277026,0.6967827
A_recon,0.9267144,-0.96240824,1.0315086,0.40919915,0.31298563
A_recon,0.40283537,-1.2269456,1.1993651,0.5495937,0.36080056
A_recon,0.9816055,-0.71583813,-0.09868115,0.027559113,0.48389158
A_recon,-1.4658189,-0.10307711,2.3516338,0.7535131,0.40939265
A_recon,1.1480265,-0.1902414,0.8892236,0.53814334,0.2718878
A_recon,-2.3553576,1.0181482,-1.1383591,0.3297317,0.79660463
A_recon,-0.12076616,-1.2843926,0.40532732,0.7884287,0.50226665
A_recon,-2.316605,0.7742293,0.8595567,0.30319482,0.6213484
A_recon,-1.680778,-0.82037896,-1.1115596,0.4534979,0.7743644
A_recon,0.17208385,1.7447174,0.24160683,0.1340417,0.43567002
A_recon,-2.5858707,-0.86643106,-0.65308845,0.40311298,0.82046795
A_recon,-1.6896586,-0.023568094,-0.74095964,0.20345524,0.7357005
A_recon,1.5588281,1.9726684,0.07675004,0.26231334,0.2747244
A_recon,-0.9607153,0.6924021,0.75812113,0.75036466,0.4800237
A_recon,0.13598728,-0.29315507,-1.0585914,0.28040877,0.58282375
A_recon,4.0915165,-0.66527873,0.32315135,0.485191,0.06104871
A_recon,1.2843676,0.11957857,-0.30218568,0.9807372,0.44495624
A_recon,2.06362,0.26903853,0.4333886,0.96165717,0.29128557
A_recon,-0.6279483,-2.5027535,-0.1308884,0.7247899,0.62857735
A_recon,-0.3700056,0.7457751,1.6206868,0.54122686,0.35060543
A_recon,-2.1921282,0.5130387,0.076945245,0.2768912,0.6741251
A_recon,-0.57972765,-0.3414985,-1.398771,0.16065201,0.7166146
A_recon,-1.452754,1.6878519,-0.050029486,0.9699254,0.615976
A_recon,0.12893915,0.24688095,-0.036578894,0.5160686,0.4640399
