epoch,encoder,task_r2,distractor_r2,brightness_r2
0,A_recon,0.4726683497428894,0.8371561169624329,0.8298630714416504
5,A_recon,0.5870996713638306,0.9968922734260559,0.9972858428955078
10,A_recon,0.8506489396095276,0.9970359802246094,0.9969010353088379
15,A_recon,0.9014077186584473,0.9975368976593018,0.9977906346321106
20,A_recon,0.9109855890274048,0.9980027079582214,0.9983136057853699
25,A_recon,0.9139158129692078,0.9982054233551025,0.9986551403999329
30,A_recon,0.9114334583282471,0.9982395172119141,0.9988115429878235
35,A_recon,0.9104727506637573,0.998278796672821,0.998894453048706
40,A_recon,0.9112825393676758,0.9983368515968323,0.9989033341407776
45,A_recon,0.9123843312263489,0.998416006565094,0.9989013075828552
50,A_recon,0.9135096073150635,0.9984361529350281,0.998905599117279
55,A_recon,0.914301335811615,0.9984399676322937,0.9989053010940552
60,A_recon,0.9146338105201721,0.9984549880027771,0.998917281627655
0,B_task,0.4726683497428894,0.8371561169624329,0.8298630714416504
5,B_task,0.9280543923377991,0.9718076586723328,0.9830412864685059
10,B_task,0.9486628174781799,0.96514892578125,0.9761400818824768
15,B_task,0.9594088792800903,0.9626986384391785,0.9738541841506958
20,B_task,0.966145396232605,0.9607663154602051,0.972266674041748
25,B_task,0.9692203998565674,0.9611322283744812,0.973182737827301
30,B_task,0.9746977686882019,0.962921142578125,0.9748820662498474
35,B_task,0.9760226011276245,0.9642770290374756,0.9759448766708374
40,B_task,0.9804307818412781,0.9633188247680664,0.9751606583595276
45,B_task,0.9824480414390564,0.9645404815673828,0.9763974547386169
50,B_task,0.9836259484291077,0.9638307690620422,0.9757886528968811
55,B_task,0.9839101433753967,0.9624112248420715,0.974970281124115
60,B_task,0.985623836517334,0.9626728892326355,0.9750328660011292
