model,subset,err_h1,err_h10,ratio_mean,ratio_std,n_seeds
A_recon_task,all,0.36107446551322936,0.9317137956619262,2.711155652769713,0.6359630219498317,5
A_recon_task,bounce,0.35836637020111084,0.9901443600654602,2.841842100889265,0.5159452403591578,5
A_recon_task,no_bounce,0.3643892496824265,0.8585585832595826,2.5829210379801286,0.8226858623322264,5
B_task_only,all,0.4727774798870087,1.0740678668022157,2.296136214549411,0.3140498971890737,5
B_task_only,bounce,0.4395716071128845,1.1814034700393676,2.6856824736239955,0.27999112924454395,5
B_task_only,no_bounce,0.5167438685894012,0.9392882585525513,1.8876435550022097,0.4285881368117328,5
baseline_constant,all,0.5821312546730042,4.138034915924072,7.110340700181837,0.17545853716978907,5
baseline_constant,bounce,0.6353842973709106,3.3465100288391114,5.268451821036529,0.11786188590081874,5
baseline_constant,no_bounce,0.5132447838783264,5.163023662567139,10.059248572579978,0.07311371248890337,5
baseline_linear,all,0.12721006312844105,4.128232065974695,32.63060748279148,2.673986425587975,5
baseline_linear,bounce,0.11053036373435407,6.399264521187901,58.2088804553003,4.717071764934693,5
baseline_linear,no_bounce,0.14839377910355928,1.1936591091540942,8.029613380746168,0.16316028460526294,5
