seed,subset,horizon,n,delta_px,delta_lo,delta_hi,frac_boot_favours_A
0,all,1,500,0.19360420107841492,0.14894194900989532,0.24168860912322998,1.0
0,all,2,500,0.26018989086151123,0.2180366814136505,0.302845299243927,1.0
0,all,3,500,0.29029229283332825,0.24503353238105774,0.33418166637420654,1.0
0,all,4,500,0.26844000816345215,0.22335729002952576,0.31716352701187134,1.0
0,all,5,500,0.2476212978363037,0.1926897019147873,0.3024890422821045,1.0
0,all,6,500,0.23513410985469818,0.16856037080287933,0.2987382709980011,1.0
0,all,7,500,0.22532330453395844,0.1548614352941513,0.29960885643959045,1.0
0,all,8,500,0.23988091945648193,0.15993137657642365,0.3116779625415802,1.0
0,all,9,500,0.2585311532020569,0.18170931935310364,0.33590438961982727,1.0
0,all,10,500,0.28430595993995667,0.2040434181690216,0.37183108925819397,1.0
0,no_bounce,1,208,0.3417988121509552,0.2576012909412384,0.4227103888988495,1.0
0,no_bounce,2,208,0.38827720284461975,0.3164196312427521,0.46428704261779785,1.0
0,no_bounce,3,208,0.4028438329696655,0.3285549581050873,0.47648829221725464,1.0
0,no_bounce,4,208,0.3496412932872772,0.26678910851478577,0.43674471974372864,1.0
0,no_bounce,5,208,0.2517874240875244,0.1544698029756546,0.3551167845726013,1.0
0,no_bounce,6,208,0.18756628036499023,0.08184946328401566,0.30069559812545776,0.9995
0,no_bounce,7,208,0.18059900403022766,0.049642857164144516,0.3128158748149872,0.9965
0,no_bounce,8,208,0.19439803063869476,0.04978032410144806,0.32540732622146606,0.9975
0,no_bounce,9,208,0.21035028994083405,0.06986557692289352,0.3530319333076477,0.9985
0,no_bounce,10,208,0.19330812990665436,0.061099328100681305,0.3392716944217682,0.9985
0,bounce,1,292,0.08804090321063995,0.03194580227136612,0.145163431763649,1.0
0,bounce,2,292,0.16894960403442383,0.11985558271408081,0.2187121957540512,1.0
0,bounce,3,292,0.2101185917854309,0.16085919737815857,0.2602977752685547,1.0
0,bounce,4,292,0.210597962141037,0.15787141025066376,0.2627522945404053,1.0
0,bounce,5,292,0.2446536421775818,0.18427561223506927,0.30442047119140625,1.0
0,bounce,6,292,0.2690180540084839,0.19450663030147552,0.3426757752895355,1.0
0,bounce,7,292,0.25718170404434204,0.17969362437725067,0.33582165837287903,1.0
0,bounce,8,292,0.2722797095775604,0.18940503895282745,0.36270377039909363,1.0
0,bounce,9,292,0.2928517758846283,0.197378009557724,0.3816372752189636,1.0
0,bounce,10,292,0.34912630915641785,0.24750328063964844,0.45386597514152527,1.0
1,all,1,500,0.24405907094478607,0.20828372240066528,0.2799983322620392,1.0
1,all,2,500,0.25230905413627625,0.2185291051864624,0.2862037122249603,1.0
1,all,3,500,0.2200976312160492,0.18845652043819427,0.2519727945327759,1.0
1,all,4,500,0.17096081376075745,0.13869217038154602,0.20359043776988983,1.0
1,all,5,500,0.1270589977502823,0.092009037733078,0.16148410737514496,1.0
1,all,6,500,0.11850208789110184,0.08185873180627823,0.15448443591594696,1.0
1,all,7,500,0.11877802759408951,0.07940559834241867,0.15588007867336273,1.0
1,all,8,500,0.13289424777030945,0.08968917280435562,0.1732145994901657,1.0
1,all,9,500,0.15592491626739502,0.10944372415542603,0.20235049724578857,1.0
1,all,10,500,0.1724315732717514,0.12243250012397766,0.22413483262062073,1.0
1,no_bounce,1,239,0.2783859968185425,0.22430506348609924,0.33282649517059326,1.0
1,no_bounce,2,239,0.2935453951358795,0.24538156390190125,0.34115153551101685,1.0
1,no_bounce,3,239,0.25480514764785767,0.2096915990114212,0.2991708517074585,1.0
1,no_bounce,4,239,0.19831666350364685,0.15042980015277863,0.24746063351631165,1.0
1,no_bounce,5,239,0.14082330465316772,0.08841223269701004,0.19339996576309204,1.0
1,no_bounce,6,239,0.1095336377620697,0.053788140416145325,0.16577859222888947,1.0
1,no_bounce,7,239,0.06883883476257324,0.010867506265640259,0.130222886800766,0.9915
1,no_bounce,8,239,0.04920336976647377,-0.014273831620812416,0.11281193792819977,0.937
1,no_bounce,9,239,0.06230675056576729,-0.003365276614204049,0.1263018101453781,0.97
1,no_bounce,10,239,0.08114372193813324,0.012799086049199104,0.1523744761943817,0.993
1,bounce,1,261,0.21262559294700623,0.16443587839603424,0.25943660736083984,1.0
1,bounce,2,261,0.21454858779907227,0.1663140207529068,0.2647532820701599,1.0
1,bounce,3,261,0.18831564486026764,0.143288254737854,0.2314690202474594,1.0
1,bounce,4,261,0.1459108144044876,0.10198654234409332,0.1906059980392456,1.0
1,bounce,5,261,0.11445488780736923,0.07019569724798203,0.1589660495519638,1.0
1,bounce,6,261,0.12671461701393127,0.08079522103071213,0.17242300510406494,1.0
1,bounce,7,261,0.16450777649879456,0.11643649637699127,0.21260526776313782,1.0
1,bounce,8,261,0.20953071117401123,0.15952739119529724,0.2660086750984192,1.0
1,bounce,9,261,0.24165189266204834,0.18172550201416016,0.30038055777549744,1.0
1,bounce,10,261,0.25602465867996216,0.18440723419189453,0.3260934352874756,1.0
2,all,1,500,0.05257164314389229,0.029711073264479637,0.07491380721330643,1.0
2,all,2,500,0.01986681856215,-0.00679900823161006,0.044706448912620544,0.9205
2,all,3,500,0.01566186174750328,-0.011455444619059563,0.03987521305680275,0.873
2,all,4,500,-0.012975605204701424,-0.040741775184869766,0.016193656250834465,0.192
2,all,5,500,-0.04116189107298851,-0.07335656136274338,-0.008827855810523033,0.0065
2,all,6,500,-0.08063145726919174,-0.11431065946817398,-0.04533304274082184,0.0
2,all,7,500,-0.10480550676584244,-0.1430896669626236,-0.06732884794473648,0.0
2,all,8,500,-0.11645727604627609,-0.15718595683574677,-0.07923773676156998,0.0
2,all,9,500,-0.10475094616413116,-0.14879533648490906,-0.05989256501197815,0.0
2,all,10,500,-0.0803859755396843,-0.13284070789813995,-0.030851347371935844,0.0005
2,no_bounce,1,212,0.0823834240436554,0.055079180747270584,0.11284135282039642,1.0
2,no_bounce,2,212,0.0795358270406723,0.040829118341207504,0.11564833670854568,1.0
2,no_bounce,3,212,0.08933109045028687,0.046905647963285446,0.13173235952854156,1.0
2,no_bounce,4,212,0.056339651346206665,0.007357108406722546,0.10234908759593964,0.9875
2,no_bounce,5,212,0.013699238188564777,-0.04056283086538315,0.06898155808448792,0.703
2,no_bounce,6,212,-0.029095852747559547,-0.0852075070142746,0.02881304919719696,0.171
2,no_bounce,7,212,-0.0774632915854454,-0.14133958518505096,-0.011099211871623993,0.012
2,no_bounce,8,212,-0.11459726095199585,-0.1750393807888031,-0.0544835701584816,0.0
2,no_bounce,9,212,-0.10003107786178589,-0.17027652263641357,-0.03183377906680107,0.002
2,no_bounce,10,212,-0.05485359951853752,-0.13316768407821655,0.020347462967038155,0.0775
2,bounce,1,288,0.030626866966485977,-0.0022755670361220837,0.06315927952528,0.9675
2,bounce,2,288,-0.02405620366334915,-0.05746523290872574,0.009321371093392372,0.0785
2,bounce,3,288,-0.03856687247753143,-0.07233460247516632,-0.0050413585267961025,0.0075
2,bounce,4,288,-0.06399933248758316,-0.0981907770037651,-0.029934914782643318,0.0
2,bounce,5,288,-0.08154577761888504,-0.1185687929391861,-0.04190140590071678,0.0
2,bounce,6,288,-0.11856739968061447,-0.15948879718780518,-0.07767133414745331,0.0
2,bounce,7,288,-0.12493240833282471,-0.17002861201763153,-0.08187402784824371,0.0
2,bounce,8,288,-0.11782646179199219,-0.16607753932476044,-0.06823676824569702,0.0
2,bounce,9,288,-0.10822530835866928,-0.16253504157066345,-0.05265551432967186,0.0
2,bounce,10,288,-0.09918065369129181,-0.1626390665769577,-0.033738818019628525,0.0025
3,all,1,500,0.10056060552597046,0.07142337411642075,0.13082604110240936,1.0
3,all,2,500,0.042377326637506485,0.020038941875100136,0.06390030682086945,1.0
3,all,3,500,0.028934979811310768,-0.00033035839442163706,0.05875871703028679,0.9725
3,all,4,500,0.05425901710987091,0.016965152695775032,0.09135457128286362,0.999
3,all,5,500,0.109553262591362,0.06745485961437225,0.15269459784030914,1.0
3,all,6,500,0.16382887959480286,0.11558791249990463,0.21440604329109192,1.0
3,all,7,500,0.22276127338409424,0.17105482518672943,0.2768322229385376,1.0
3,all,8,500,0.2700076699256897,0.2119833081960678,0.32978013157844543,1.0
3,all,9,500,0.3054018020629883,0.24134255945682526,0.37021827697753906,1.0
3,all,10,500,0.3615996837615967,0.2924714684486389,0.43089643120765686,1.0
3,no_bounce,1,215,0.059723883867263794,0.013526121154427528,0.10488803684711456,0.994
3,no_bounce,2,215,0.029903346672654152,-0.008630499243736267,0.06642121821641922,0.9435
3,no_bounce,3,215,0.042922087013721466,-0.012764210812747478,0.09484929591417313,0.929
3,no_bounce,4,215,0.08790219575166702,0.02393137477338314,0.15133918821811676,0.9945
3,no_bounce,5,215,0.15235862135887146,0.08042770624160767,0.2259613275527954,1.0
3,no_bounce,6,215,0.16556225717067719,0.08346869051456451,0.24330702424049377,0.9995
3,no_bounce,7,215,0.1678922474384308,0.08202487975358963,0.25674813985824585,1.0
3,no_bounce,8,215,0.17268233001232147,0.0797458067536354,0.2671598792076111,1.0
3,no_bounce,9,215,0.20317354798316956,0.10153042525053024,0.3058805763721466,1.0
3,no_bounce,10,215,0.2680005729198456,0.16402064263820648,0.3737044036388397,1.0
3,bounce,1,285,0.1313672512769699,0.09509902447462082,0.1665147989988327,1.0
3,bounce,2,285,0.051787521690130234,0.024009855464100838,0.08143561333417892,1.0
3,bounce,3,285,0.01838330551981926,-0.017607957124710083,0.05480005592107773,0.8405
3,bounce,4,285,0.02887907437980175,-0.015091748908162117,0.07408097386360168,0.903
3,bounce,5,285,0.07726151496171951,0.026902904734015465,0.12647567689418793,0.9975
3,bounce,6,285,0.16252122819423676,0.1011749729514122,0.2235659658908844,1.0
3,bounce,7,285,0.26415371894836426,0.1971644163131714,0.33226534724235535,1.0
3,bounce,8,285,0.34342852234840393,0.26975637674331665,0.4174578785896301,1.0
3,bounce,9,285,0.3825213611125946,0.3052782118320465,0.46089228987693787,1.0
3,bounce,10,285,0.4322095513343811,0.3374541401863098,0.5215269923210144,1.0
4,all,1,500,-0.03228040784597397,-0.06498400121927261,0.0022115912288427353,0.0315
4,all,2,500,0.04122546687722206,0.012977751903235912,0.07138773798942566,0.996
4,all,3,500,0.009418676607310772,-0.017142146825790405,0.03609190881252289,0.7595
4,all,4,500,-0.025269245728850365,-0.05733545124530792,0.0061933728866279125,0.065
4,all,5,500,-0.024784386157989502,-0.06170738860964775,0.012500462122261524,0.0905
4,all,6,500,-0.0026635550893843174,-0.044174470007419586,0.03827003762125969,0.4485
4,all,7,500,0.013269854709506035,-0.03098418191075325,0.05749351903796196,0.7055
4,all,8,500,0.013365603052079678,-0.032190173864364624,0.05754393711686134,0.726
4,all,9,500,-0.01773092709481716,-0.0645204484462738,0.029062693938612938,0.2175
4,all,10,500,-0.02618098258972168,-0.07741615921258926,0.025143824517726898,0.15
4,no_bounce,1,217,-0.0005190361407585442,-0.05013295263051987,0.049309272319078445,0.502
4,no_bounce,2,217,0.08548904210329056,0.04786345735192299,0.12440743297338486,1.0
4,no_bounce,3,217,-0.04099322482943535,-0.07843409478664398,-0.00316256214864552,0.019
