subset,horizon,delta_px_mean,delta_px_std,n_seeds,seeds_favouring_A,mean_boot_frac
all,1,0.11170302256941791,0.11020189234675706,5,4,0.8063
all,2,0.12319371141493315,0.12182492854164384,5,5,0.9833000000000001
all,3,0.11288108844310041,0.13245104788559003,5,5,0.921
all,4,0.09108299762010573,0.1260535774929417,5,3,0.6512
all,5,0.08365745618939399,0.11914060033148294,5,3,0.6194
all,6,0.08683401299640534,0.12745439733760489,5,3,0.6897
all,7,0.09506539069116114,0.14184017156741008,5,4,0.7411
all,8,0.1079382328316569,0.16093127755612263,5,4,0.7452
all,9,0.1194751996546984,0.17630706680928337,5,3,0.6435
all,10,0.14235405176877974,0.1917946989965613,5,3,0.6301
bounce,1,0.08120521679520604,0.10172541099099443,5,4,0.7953
bounce,2,0.08370287232100962,0.10351078260073938,5,4,0.7449
bounce,3,0.08526488170027731,0.10885602692806193,5,4,0.768
bounce,4,0.07387349791824815,0.10675544027541393,5,4,0.7791
bounce,5,0.08462473154067993,0.1166538279477169,5,4,0.7992
bounce,6,0.10817129760980604,0.1419761457702116,5,4,0.7999
bounce,7,0.1340819731354713,0.15865899047230286,5,4,0.8
bounce,8,0.15993047803640364,0.18061353492878296,5,4,0.8
bounce,9,0.16947433724999428,0.2000457138325657,5,4,0.7807000000000001
bounce,10,0.19125912487506863,0.22444800088726596,5,4,0.7436
no_bounce,1,0.15235461614793167,0.14884537796351122,5,4,0.8992000000000001
no_bounce,2,0.17535016275942322,0.15629956941763098,5,5,0.9887
no_bounce,3,0.14978178665041922,0.1778613875502123,5,4,0.7896
no_bounce,4,0.11428081691265105,0.17447819746522478,5,4,0.7964
no_bounce,5,0.08249784503132103,0.15327088986731233,5,4,0.7405999999999999
no_bounce,6,0.05909770242869854,0.13877945321881846,5,3,0.634
no_bounce,7,0.045527912676334374,0.13580698711337294,5,3,0.6
no_bounce,8,0.042437667399644816,0.14332517475331918,5,3,0.5874
no_bounce,9,0.05692826285958288,0.15126199454887906,5,3,0.596
no_bounce,10,0.08072967156767843,0.152681730066446,5,3,0.6195999999999999
