seed,vs,horizon,delta_px,b_worse_frac
0,A_recon,1,0.0888918861746788,0.565
0,A_recon,2,0.2814067006111145,0.76
0,A_recon,3,0.24463379383087158,0.8
0,A_recon,4,0.17276641726493835,0.79
0,A_recon,5,0.11235135793685913,0.77
0,A_recon,6,0.0669974833726883,0.7
0,A_recon,7,0.03543071448802948,0.625
0,A_recon,8,0.016483517363667488,0.585
0,A_recon,9,0.003562744241207838,0.545
0,A_recon,10,-0.002770997816696763,0.5
0,C_scene,1,-0.9159297347068787,0.305
0,C_scene,2,-0.24543222784996033,0.33
0,C_scene,3,0.4654502868652344,0.79
0,C_scene,4,0.8325636982917786,0.755
0,C_scene,5,0.8299389481544495,0.675
0,C_scene,6,0.5734677314758301,0.625
0,C_scene,7,0.2120751142501831,0.55
0,C_scene,8,-0.09140178561210632,0.465
0,C_scene,9,-0.294938862323761,0.445
0,C_scene,10,-0.4165773391723633,0.425
0,D_latent,1,-5.252568244934082,0.145
0,D_latent,2,-2.4560916423797607,0.135
0,D_latent,3,-0.6293388605117798,0.25
0,D_latent,4,0.38199272751808167,0.695
0,D_latent,5,0.7039706707000732,0.665
0,D_latent,6,0.5434128642082214,0.585
0,D_latent,7,0.1526407152414322,0.535
0,D_latent,8,-0.22370636463165283,0.465
0,D_latent,9,-0.510125458240509,0.445
0,D_latent,10,-0.7093435525894165,0.395
