model,horizon,mean,std,count
A_recon,1,6.970487117767334,,1
A_recon,2,8.038848876953125,,1
A_recon,3,8.819173812866211,,1
A_recon,4,9.09541130065918,,1
A_recon,5,9.093618392944336,,1
A_recon,6,9.011397361755371,,1
A_recon,7,8.999529838562012,,1
A_recon,8,9.088054656982422,,1
A_recon,9,9.233783721923828,,1
A_recon,10,9.419904708862305,,1
B_task,1,7.0593791007995605,,1
B_task,2,8.320255279541016,,1
B_task,3,9.06380844116211,,1
B_task,4,9.268178939819336,,1
B_task,5,9.20596981048584,,1
B_task,6,9.078394889831543,,1
B_task,7,9.03495979309082,,1
B_task,8,9.104538917541504,,1
B_task,9,9.237347602844238,,1
B_task,10,9.417134284973145,,1
C_scene,1,7.975308895111084,,1
C_scene,2,8.56568717956543,,1
C_scene,3,8.598358154296875,,1
C_scene,4,8.435615539550781,,1
C_scene,5,8.376030921936035,,1
C_scene,6,8.504927635192871,,1
C_scene,7,8.822884559631348,,1
C_scene,8,9.195940971374512,,1
C_scene,9,9.532286643981934,,1
C_scene,10,9.833710670471191,,1
D_latent,1,12.3119478225708,,1
D_latent,2,10.776348114013672,,1
D_latent,3,9.693146705627441,,1
D_latent,4,8.886185646057129,,1
D_latent,5,8.501999855041504,,1
D_latent,6,8.534982681274414,,1
D_latent,7,8.882319450378418,,1
D_latent,8,9.32824420928955,,1
D_latent,9,9.747472763061523,,1
D_latent,10,10.126477241516113,,1
baseline_hold,1,0.7083838582038879,,1
baseline_hold,2,1.3930476903915405,,1
baseline_hold,3,2.088590145111084,,1
baseline_hold,4,2.732775926589966,,1
baseline_hold,5,3.3483147621154785,,1
baseline_hold,6,3.9064574241638184,,1
baseline_hold,7,4.462789535522461,,1
baseline_hold,8,4.9958295822143555,,1
baseline_hold,9,5.459676742553711,,1
baseline_hold,10,5.90096378326416,,1
baseline_linear,1,0.12879099250905152,,1
baseline_linear,2,0.21614468879808157,,1
baseline_linear,3,0.32038645248837583,,1
baseline_linear,4,0.46823636267506585,,1
baseline_linear,5,0.6749205652605613,,1
baseline_linear,6,0.9467420446580124,,1
baseline_linear,7,1.2715743971030502,,1
baseline_linear,8,1.6639085869799026,,1
baseline_linear,9,2.1162162437075334,,1
baseline_linear,10,2.626145731381277,,1
