arm,seed,epoch,task_mse,aux,sec
A_recon,0,1,0.34931308031082153,0.07370963245630265,1.5308113098144531
A_recon,0,2,0.17467364966869353,0.07266758531332015,0.1122589111328125
A_recon,0,3,0.09795034229755402,0.07059918940067292,0.08923697471618652
B_task,0,1,0.34930936694145204,0.0,0.040670156478881836
B_task,0,2,0.17464135885238646,0.0,0.03809642791748047
B_task,0,3,0.09802769124507904,0.0,0.03749418258666992
C_scene,0,1,0.3541499078273773,0.34760637283325196,0.043916940689086914
C_scene,0,2,0.1821225106716156,0.12449855357408524,0.04181933403015137
C_scene,0,3,0.11706530302762985,0.08710629194974899,0.041507720947265625
D_latent,0,1,0.35033575296401975,0.048934398032724855,0.04650568962097168
D_latent,0,2,0.18167136013507842,11.821999204158782,0.04112100601196289
D_latent,0,3,0.11930363327264785,161.82587890625,0.04163360595703125
