arm,seed,dim,mse_increase
A_recon,0,0,0.000493711675517261
A_recon,0,1,0.00022434804122895002
A_recon,0,2,0.00013935298193246126
A_recon,0,3,0.00039885053411126137
A_recon,0,4,0.0006755058420822024
A_recon,0,5,0.0003153849393129349
A_recon,0,6,0.0024188882671296597
A_recon,0,7,0.0008916003862395883
A_recon,0,8,0.0004954156465828419
A_recon,0,9,0.00017883419059216976
A_recon,0,10,0.005981360096484423
A_recon,0,11,0.007183421868830919
A_recon,0,12,0.0013518215855583549
A_recon,0,13,0.00026472879108041525
A_recon,0,14,0.012485519051551819
A_recon,0,15,0.00013714306987822056
A_recon,0,16,0.0001686380710452795
A_recon,0,17,0.001011759857647121
A_recon,0,18,0.0002502111019566655
A_recon,0,19,0.00010436726734042168
A_recon,0,20,0.0020038485527038574
A_recon,0,21,0.0002539482666179538
A_recon,0,22,0.003991751465946436
A_recon,0,23,0.0007944145472720265
A_recon,0,24,0.0004213780630379915
A_recon,0,25,0.001949988421984017
A_recon,0,26,0.0013516390463337302
A_recon,0,27,0.002984486985951662
A_recon,0,28,3.704288974404335e-05
A_recon,0,29,0.00011805782560259104
A_recon,0,30,3.2425159588456154e-05
A_recon,0,31,0.00025518692564219236
A_recon,1,0,0.0001292808447033167
A_recon,1,1,0.0020357489120215178
A_recon,1,2,0.0033964875619858503
A_recon,1,3,0.001598759787157178
A_recon,1,4,0.000497262692078948
A_recon,1,5,0.0005210982635617256
A_recon,1,6,0.0006192012224346399
A_recon,1,7,0.0006939421873539686
A_recon,1,8,0.00027823401615023613
A_recon,1,9,0.0003064356278628111
A_recon,1,10,0.0025087993126362562
A_recon,1,11,0.002804423915222287
A_recon,1,12,0.0011187770869582891
A_recon,1,13,0.00027324887923896313
A_recon,1,14,0.0005423920229077339
A_recon,1,15,0.00043232343159615993
A_recon,1,16,0.005665171891450882
A_recon,1,17,0.0017914718482643366
A_recon,1,18,0.00620146282017231
A_recon,1,19,0.00015047495253384113
A_recon,1,20,0.0002586671616882086
A_recon,1,21,0.0004846877418458462
A_recon,1,22,0.00011484022252261639
A_recon,1,23,0.005221103318035603
A_recon,1,24,0.00021183048374950886
A_recon,1,25,0.001166240544989705
A_recon,1,26,0.0005727729294449091
A_recon,1,27,0.0003307734150439501
A_recon,1,28,0.0015168215613812208
A_recon,1,29,0.004813194274902344
A_recon,1,30,0.0015381930861622095
A_recon,1,31,7.317913696169853e-05
A_recon,2,0,0.0003067236393690109
A_recon,2,1,0.0017723527271300554
A_recon,2,2,0.0006053827237337828
A_recon,2,3,7.351953536272049e-05
A_recon,2,4,0.00024967920035123825
A_recon,2,5,0.00018970691598951817
A_recon,2,6,0.00018329801969230175
A_recon,2,7,0.002824377967044711
A_recon,2,8,0.0022803449537605047
A_recon,2,9,0.0005489513278007507
A_recon,2,10,0.0005351658910512924
A_recon,2,11,0.001073070103302598
A_recon,2,12,0.0007491109427064657
A_recon,2,13,0.0025651853065937757
A_recon,2,14,0.0002042574342340231
A_recon,2,15,0.001734596909955144
A_recon,2,16,0.0003810699563473463
A_recon,2,17,0.0004521990194916725
A_recon,2,18,0.00546483788639307
A_recon,2,19,0.00035541411489248276
A_recon,2,20,0.00018570013344287872
A_recon,2,21,0.00020423601381480694
A_recon,2,22,0.00219247885979712
A_recon,2,23,0.0003837400581687689
A_recon,2,24,7.255002856254578e-06
A_recon,2,25,0.0008266638033092022
A_recon,2,26,0.00015693879686295986
A_recon,2,27,0.0008931739721447229
A_recon,2,28,0.007826032117009163
A_recon,2,29,0.0005244861822575331
A_recon,2,30,0.0011650754604488611
A_recon,2,31,0.0004586994182318449
A_recon,3,0,0.0007334371330216527
A_recon,3,1,0.0001293863169848919
A_recon,3,2,5.1092589274048805e-05
A_recon,3,3,0.0023585688322782516
A_recon,3,4,0.0020380052737891674
A_recon,3,5,0.00079494493547827
A_recon,3,6,0.0009058016585186124
A_recon,3,7,0.001028061960823834
A_recon,3,8,5.277048330754042e-05
A_recon,3,9,0.00035064329858869314
A_recon,3,10,0.00206149835139513
A_recon,3,11,0.0013611569302156568
A_recon,3,12,0.0008054532809183002
A_recon,3,13,0.001423626090399921
A_recon,3,14,3.391143400222063e-05
A_recon,3,15,0.0016535766189917922
A_recon,3,16,0.00026344333309680223
A_recon,3,17,0.00021098542492836714
A_recon,3,18,0.0002766181714832783
A_recon,3,19,0.00183315749745816
A_recon,3,20,0.0012636183528229594
A_recon,3,21,0.0058527602814137936
A_recon,3,22,0.0021826662123203278
A_recon,3,23,0.002123789396136999
A_recon,3,24,0.0006991903064772487
A_recon,3,25,0.00010346563067287207
A_recon,3,26,0.0019901772029697895
A_recon,3,27,0.005837787874042988
A_recon,3,28,0.0008719427278265357
A_recon,3,29,3.4529948607087135e-05
A_recon,3,30,0.000603938358835876
A_recon,3,31,0.0012783174170181155
B_task,0,0,4.396936856210232e-05
B_task,0,1,0.0016130784060806036
B_task,0,2,0.0005037316586822271
B_task,0,3,0.0002852694597095251
B_task,0,4,0.004115380346775055
B_task,0,5,0.0027074140962213278
B_task,0,6,0.004059869796037674
B_task,0,7,0.00022604293189942837
B_task,0,8,0.0036432051565498114
B_task,0,9,0.0006943491753190756
B_task,0,10,0.007570807822048664
B_task,0,11,0.0036375231575220823
B_task,0,12,0.003677695756778121
B_task,0,13,0.0001370515674352646
B_task,0,14,0.006650159135460854
B_task,0,15,0.010164131410419941
B_task,0,16,9.788013994693756e-05
B_task,0,17,0.0003376784734427929
B_task,0,18,0.00010151229798793793
B_task,0,19,0.009556470438838005
B_task,0,20,0.0015457167755812407
B_task,0,21,0.0006229041609913111
B_task,0,22,0.010063736699521542
B_task,0,23,0.0015129593666642904
B_task,0,24,0.0007763106841593981
B_task,0,25,0.00254920800216496
B_task,0,26,0.0044287024065852165
B_task,0,27,0.0012264635879546404
B_task,0,28,0.002898062812164426
B_task,0,29,0.004801960662007332
B_task,0,30,0.0008809941355139017
B_task,0,31,0.0019444304052740335
B_task,1,0,0.00026696082204580307
B_task,1,1,0.00015375204384326935
B_task,1,2,0.0017538219690322876
B_task,1,3,0.001570799620822072
B_task,1,4,0.007320936303585768
B_task,1,5,0.001052039209753275
B_task,1,6,0.0015438972041010857
B_task,1,7,0.0012125656940042973
B_task,1,8,0.001377677544951439
B_task,1,9,0.001988206524401903
B_task,1,10,0.004358310252428055
B_task,1,11,0.0036848681047558784
B_task,1,12,0.0005397133063524961
B_task,1,13,0.000923805870115757
B_task,1,14,0.0020348005928099155
B_task,1,15,0.000762291019782424
B_task,1,16,0.009470991790294647
B_task,1,17,0.0013465359807014465
B_task,1,18,0.01851966418325901
B_task,1,19,0.003032504115253687
B_task,1,20,0.0013237055391073227
B_task,1,21,0.00017875921912491322
B_task,1,22,0.0006568364333361387
B_task,1,23,0.0003062780015170574
B_task,1,24,0.003021158743649721
B_task,1,25,0.00519495690241456
B_task,1,26,0.0019446546211838722
B_task,1,27,0.0039053265936672688
B_task,1,28,0.0018201540224254131
B_task,1,29,0.0009710851591080427
B_task,1,30,0.0007338428404182196
