arm,seed,task_r2,bg_r2,distractor_r2
A_recon,0,0.9818987250328064,0.9855297803878784,0.012679100036621094
A_recon,1,0.9614133834838867,0.9902135133743286,0.010341048240661621
A_recon,2,0.9668322801589966,0.9874321818351746,0.010832071304321289
A_recon,3,0.9799355268478394,0.9878979325294495,0.012889623641967773
B_task,0,0.9563453197479248,0.03517431020736694,0.00546109676361084
B_task,1,0.9720184206962585,0.17022407054901123,0.00802391767501831
B_task,2,0.9428092241287231,0.08410656452178955,0.008085489273071289
B_task,3,0.9576072692871094,0.034892499446868896,0.006535470485687256
C_scene,0,0.9752628803253174,0.99558025598526,0.4767102003097534
C_scene,1,0.9808459281921387,0.997833251953125,0.5067654848098755
C_scene,2,0.9633869528770447,0.9973152875900269,0.48721182346343994
C_scene,3,0.9770359992980957,0.9982137084007263,0.4928452968597412
D_latent,0,0.6356762647628784,0.986466646194458,0.011112213134765625
D_latent,1,0.6404058933258057,0.988943338394165,0.010670065879821777
D_latent,2,0.6694039106369019,0.9400474429130554,0.008810997009277344
D_latent,3,0.6345247626304626,0.9751852750778198,0.011033475399017334
