model,seed,h1,hN,ratio
A_recon,0,0.912554144859314,3.0061230659484863,3.2941859755751066
A_recon,1,0.7318803668022156,3.1587772369384766,4.315974823508429
A_recon,2,0.8245366215705872,3.119298219680786,3.783092391626111
A_recon,3,0.7117097973823547,3.093961477279663,4.347223388885683
B_task,0,0.7290250658988953,3.007375955581665,4.1252024055901835
B_task,1,0.6650601029396057,3.0297622680664062,4.55562174707921
B_task,2,1.0201317071914673,3.1853256225585938,3.122465070052708
B_task,3,0.8019404411315918,3.0468881130218506,3.79939451453837
C_scene,0,0.8684753179550171,3.471886157989502,3.997679710880775
C_scene,1,0.7893388867378235,3.4812357425689697,4.410318306952045
C_scene,2,1.166765809059143,3.445173740386963,2.952755140438237
C_scene,3,0.9042263031005859,3.4920530319213867,3.861923746242683
D_latent,0,16.49221420288086,18.165180206298828,1.1014397450116635
D_latent,1,16.81683921813965,18.211814880371094,1.0829511208459877
D_latent,2,16.758712768554688,18.260343551635742,1.0896029906245932
D_latent,3,16.932729721069336,18.103919982910156,1.0691672448053968
baseline_hold,0,1.3987106084823608,22.307693481445312,15.94875547962689
baseline_hold,1,1.398789882659912,22.930835723876953,16.39333827627643
baseline_hold,2,1.3728842735290527,22.208620071411133,16.176614809872508
baseline_hold,3,1.4127122163772583,22.846546173095703,16.172116237292194
baseline_linear,0,0.5953856348302703,39.45397157219024,66.26624705756899
baseline_linear,1,0.6261623320661819,40.51436844093307,64.70265994322207
baseline_linear,2,0.5930630263769544,39.14987208286446,66.01300425358261
baseline_linear,3,0.6387140460114744,41.38725155442138,64.79777893232344
