seed,model,subset,horizon,n,err_px,median_px
0,A_recon,all,1,1500,0.912554144859314,0.8661907911300659
0,A_recon,all,2,1500,0.8786848187446594,0.8303787708282471
0,A_recon,all,3,1500,0.9293005466461182,0.867631196975708
0,A_recon,all,4,1500,1.018003225326538,0.9486920833587646
0,A_recon,all,5,1500,1.1047248840332031,1.0327249765396118
0,A_recon,all,6,1500,1.2012214660644531,1.146342158317566
0,A_recon,all,7,1500,1.2902964353561401,1.2141607999801636
0,A_recon,all,8,1500,1.380224585533142,1.286510705947876
0,A_recon,all,9,1500,1.4611696004867554,1.342954158782959
0,A_recon,all,10,1500,1.5505356788635254,1.433518648147583
0,A_recon,all,11,1500,1.6376936435699463,1.529296875
0,A_recon,all,12,1500,1.733076810836792,1.6218857765197754
0,A_recon,all,13,1500,1.8284146785736084,1.7018340826034546
0,A_recon,all,14,1500,1.9291719198226929,1.7734408378601074
0,A_recon,all,15,1500,2.0128555297851562,1.8617537021636963
0,A_recon,all,16,1500,2.1071696281433105,1.9508336782455444
0,A_recon,all,17,1500,2.1984572410583496,2.0357038974761963
0,A_recon,all,18,1500,2.288666248321533,2.10707688331604
0,A_recon,all,19,1500,2.3914034366607666,2.168438196182251
0,A_recon,all,20,1500,2.491931676864624,2.2759783267974854
0,A_recon,all,21,1500,2.5798654556274414,2.3604516983032227
0,A_recon,all,22,1500,2.693892002105713,2.4538815021514893
0,A_recon,all,23,1500,2.8026890754699707,2.5756709575653076
0,A_recon,all,24,1500,2.9082136154174805,2.687077522277832
0,A_recon,all,25,1500,3.0061230659484863,2.7526097297668457
0,A_recon,no_bounce,1,225,1.0234873294830322,0.9941117167472839
0,A_recon,no_bounce,2,225,0.9271392226219177,0.8482298851013184
0,A_recon,no_bounce,3,225,0.953668475151062,0.8785403370857239
0,A_recon,no_bounce,4,225,1.0424559116363525,0.989362895488739
0,A_recon,no_bounce,5,225,1.1127238273620605,1.0569974184036255
0,A_recon,no_bounce,6,225,1.1989468336105347,1.1182615756988525
0,A_recon,no_bounce,7,225,1.293671727180481,1.2147345542907715
0,A_recon,no_bounce,8,225,1.3922631740570068,1.3130428791046143
0,A_recon,no_bounce,9,225,1.5117874145507812,1.3724536895751953
0,A_recon,no_bounce,10,225,1.6136221885681152,1.44620680809021
0,A_recon,no_bounce,11,225,1.730161428451538,1.5859248638153076
0,A_recon,no_bounce,12,225,1.8386943340301514,1.6980550289154053
0,A_recon,no_bounce,13,225,1.9352033138275146,1.742485523223877
0,A_recon,no_bounce,14,225,2.0612823963165283,1.8781461715698242
0,A_recon,no_bounce,15,225,2.1766374111175537,1.9809881448745728
0,A_recon,no_bounce,16,225,2.2896318435668945,2.0193305015563965
0,A_recon,no_bounce,17,225,2.4111504554748535,2.0857927799224854
0,A_recon,no_bounce,18,225,2.521024227142334,2.16927433013916
0,A_recon,no_bounce,19,225,2.63383412361145,2.3216352462768555
0,A_recon,no_bounce,20,225,2.716003179550171,2.3613321781158447
0,A_recon,no_bounce,21,225,2.7911975383758545,2.3995180130004883
0,A_recon,no_bounce,22,225,2.8741953372955322,2.436098575592041
0,A_recon,no_bounce,23,225,2.936990261077881,2.4846694469451904
0,A_recon,no_bounce,24,225,3.023549795150757,2.4732253551483154
0,A_recon,no_bounce,25,225,3.1172163486480713,2.6484949588775635
0,A_recon,bounce,1,1275,0.8929776549339294,0.8470450043678284
0,A_recon,bounce,2,1275,0.8701340556144714,0.8232766389846802
0,A_recon,bounce,3,1275,0.9250003695487976,0.8670082092285156
0,A_recon,bounce,4,1275,1.013688087463379,0.9469277262687683
0,A_recon,bounce,5,1275,1.1033133268356323,1.0288422107696533
0,A_recon,bounce,6,1275,1.2016229629516602,1.1488230228424072
0,A_recon,bounce,7,1275,1.2897007465362549,1.2135870456695557
0,A_recon,bounce,8,1275,1.3781001567840576,1.281472086906433
0,A_recon,bounce,9,1275,1.4522371292114258,1.3371623754501343
0,A_recon,bounce,10,1275,1.539402723312378,1.4327917098999023
0,A_recon,bounce,11,1275,1.6213760375976562,1.5227110385894775
0,A_recon,bounce,12,1275,1.714438557624817,1.616815447807312
0,A_recon,bounce,13,1275,1.8095697164535522,1.6960530281066895
0,A_recon,bounce,14,1275,1.9058582782745361,1.740066647529602
0,A_recon,bounce,15,1275,1.9839529991149902,1.8464877605438232
0,A_recon,bounce,16,1275,2.074970245361328,1.9456678628921509
0,A_recon,bounce,17,1275,2.1609232425689697,2.0284156799316406
0,A_recon,bounce,18,1275,2.247662305831909,2.101902723312378
0,A_recon,bounce,19,1275,2.348621368408203,2.159916639328003
0,A_recon,bounce,20,1275,2.452389717102051,2.264763116836548
0,A_recon,bounce,21,1275,2.542571544647217,2.3444929122924805
0,A_recon,bounce,22,1275,2.662073850631714,2.460484027862549
0,A_recon,bounce,23,1275,2.77898907661438,2.5888051986694336
0,A_recon,bounce,24,1275,2.887860059738159,2.702547788619995
0,A_recon,bounce,25,1275,2.986518144607544,2.7574350833892822
0,B_task,all,1,1500,0.7290250658988953,0.6659729480743408
0,B_task,all,2,1500,0.7013121843338013,0.6391787528991699
0,B_task,all,3,1500,0.7755681872367859,0.6971134543418884
0,B_task,all,4,1500,0.8907397985458374,0.8191230297088623
0,B_task,all,5,1500,0.9942421913146973,0.9283156394958496
0,B_task,all,6,1500,1.0992757081985474,1.0065512657165527
0,B_task,all,7,1500,1.1872878074645996,1.109067678451538
0,B_task,all,8,1500,1.2821177244186401,1.1906366348266602
0,B_task,all,9,1500,1.3813815116882324,1.2825701236724854
0,B_task,all,10,1500,1.4760046005249023,1.3811997175216675
0,B_task,all,11,1500,1.5677326917648315,1.5030878782272339
0,B_task,all,12,1500,1.6663755178451538,1.593986988067627
0,B_task,all,13,1500,1.7605243921279907,1.6725515127182007
0,B_task,all,14,1500,1.8605496883392334,1.7497332096099854
0,B_task,all,15,1500,1.9523714780807495,1.8487892150878906
0,B_task,all,16,1500,2.049294948577881,1.915235996246338
0,B_task,all,17,1500,2.142857551574707,2.0019195079803467
0,B_task,all,18,1500,2.2398977279663086,2.112184524536133
0,B_task,all,19,1500,2.3504648208618164,2.2022225856781006
0,B_task,all,20,1500,2.4604156017303467,2.3177084922790527
0,B_task,all,21,1500,2.5549657344818115,2.3930583000183105
0,B_task,all,22,1500,2.6732125282287598,2.4752235412597656
0,B_task,all,23,1500,2.789155960083008,2.6253175735473633
0,B_task,all,24,1500,2.8975601196289062,2.706094264984131
0,B_task,all,25,1500,3.007375955581665,2.834916114807129
0,B_task,no_bounce,1,225,0.672217071056366,0.6197187900543213
0,B_task,no_bounce,2,225,0.6584340929985046,0.5975022315979004
0,B_task,no_bounce,3,225,0.717766523361206,0.637040376663208
0,B_task,no_bounce,4,225,0.8105108737945557,0.7486187219619751
0,B_task,no_bounce,5,225,0.9139143824577332,0.8551448583602905
0,B_task,no_bounce,6,225,1.0036160945892334,0.9083713293075562
0,B_task,no_bounce,7,225,1.1081651449203491,1.0201468467712402
0,B_task,no_bounce,8,225,1.2026747465133667,1.1045881509780884
0,B_task,no_bounce,9,225,1.3207454681396484,1.2645021677017212
0,B_task,no_bounce,10,225,1.422545075416565,1.3512262105941772
0,B_task,no_bounce,11,225,1.539203405380249,1.5008792877197266
0,B_task,no_bounce,12,225,1.6546642780303955,1.5823814868927002
0,B_task,no_bounce,13,225,1.7426302433013916,1.6571215391159058
0,B_task,no_bounce,14,225,1.8551071882247925,1.732497215270996
0,B_task,no_bounce,15,225,1.9815558195114136,1.8666373491287231
0,B_task,no_bounce,16,225,2.079028844833374,1.9611302614212036
0,B_task,no_bounce,17,225,2.2011313438415527,2.044978380203247
0,B_task,no_bounce,18,225,2.309824228286743,2.1236956119537354
0,B_task,no_bounce,19,225,2.426180362701416,2.272576332092285
0,B_task,no_bounce,20,225,2.5193440914154053,2.348407506942749
0,B_task,no_bounce,21,225,2.609435796737671,2.3671064376831055
0,B_task,no_bounce,22,225,2.706129550933838,2.5238664150238037
0,B_task,no_bounce,23,225,2.8018157482147217,2.5870230197906494
0,B_task,no_bounce,24,225,2.9021413326263428,2.641073226928711
0,B_task,no_bounce,25,225,3.0446579456329346,2.7971904277801514
0,B_task,bounce,1,1275,0.739050030708313,0.672463059425354
0,B_task,bounce,2,1275,0.7088788747787476,0.6465768218040466
0,B_task,bounce,3,1275,0.7857685089111328,0.7063776850700378
0,B_task,bounce,4,1275,0.904897928237915,0.8226811289787292
0,B_task,bounce,5,1275,1.0084177255630493,0.9390493631362915
0,B_task,bounce,6,1275,1.116156816482544,1.0298981666564941
0,B_task,bounce,7,1275,1.201250672340393,1.1243655681610107
0,B_task,bounce,8,1275,1.2961372137069702,1.2140913009643555
0,B_task,bounce,9,1275,1.3920818567276,1.2909862995147705
0,B_task,bounce,10,1275,1.4854387044906616,1.3986995220184326
0,B_task,bounce,11,1275,1.5727672576904297,1.5034984350204468
0,B_task,bounce,12,1275,1.6684422492980957,1.5960732698440552
0,B_task,bounce,13,1275,1.763682246208191,1.6726574897766113
0,B_task,bounce,14,1275,1.8615100383758545,1.7550179958343506
0,B_task,bounce,15,1275,1.9472211599349976,1.8458788394927979
0,B_task,bounce,16,1275,2.0440478324890137,1.91432785987854
0,B_task,bounce,17,1275,2.1325740814208984,1.984574794769287
0,B_task,bounce,18,1275,2.227558135986328,2.100468873977661
0,B_task,bounce,19,1275,2.3371031284332275,2.1920042037963867
0,B_task,bounce,20,1275,2.450016736984253,2.312582015991211
0,B_task,bounce,21,1275,2.545353651046753,2.394578695297241
0,B_task,bounce,22,1275,2.6674036979675293,2.455068349838257
0,B_task,bounce,23,1275,2.786921739578247,2.6287145614624023
