seed,vs,horizon,delta_px,b_worse_frac
0,A_recon,1,-0.18352898955345154,0.38466666666666666
0,A_recon,2,-0.17737260460853577,0.35933333333333334
0,A_recon,3,-0.15373235940933228,0.38666666666666666
0,A_recon,4,-0.12726342678070068,0.418
0,A_recon,5,-0.11048265546560287,0.43666666666666665
0,A_recon,6,-0.10194583237171173,0.45
0,A_recon,7,-0.10300852358341217,0.452
0,A_recon,8,-0.09810687601566315,0.45
0,A_recon,9,-0.07978817075490952,0.462
0,A_recon,10,-0.07453092932701111,0.4633333333333333
0,A_recon,11,-0.06996099650859833,0.472
0,A_recon,12,-0.06670131534337997,0.476
0,A_recon,13,-0.06789042800664902,0.4666666666666667
0,A_recon,14,-0.06862223148345947,0.47533333333333333
0,A_recon,15,-0.06048428267240524,0.472
0,A_recon,16,-0.05787455290555954,0.47533333333333333
0,A_recon,17,-0.0555998720228672,0.476
0,A_recon,18,-0.04876864701509476,0.48133333333333334
0,A_recon,19,-0.04093838855624199,0.482
0,A_recon,20,-0.0315159372985363,0.486
0,A_recon,21,-0.024899756535887718,0.48733333333333334
0,A_recon,22,-0.020679550245404243,0.49
0,A_recon,23,-0.01353312935680151,0.49466666666666664
0,A_recon,24,-0.010653464123606682,0.5
0,A_recon,25,0.0012531192041933537,0.5046666666666667
0,C_scene,1,-0.13945025205612183,0.424
0,C_scene,2,-0.23239992558956146,0.3606666666666667
0,C_scene,3,-0.2533537745475769,0.35733333333333334
0,C_scene,4,-0.2508503198623657,0.37666666666666665
0,C_scene,5,-0.26004746556282043,0.38533333333333336
0,C_scene,6,-0.27482104301452637,0.3893333333333333
0,C_scene,7,-0.2978931665420532,0.38666666666666666
0,C_scene,8,-0.30084189772605896,0.39
0,C_scene,9,-0.3019062578678131,0.39266666666666666
0,C_scene,10,-0.3231448531150818,0.3973333333333333
0,C_scene,11,-0.3371460437774658,0.3953333333333333
0,C_scene,12,-0.3538460433483124,0.408
0,C_scene,13,-0.36501213908195496,0.38666666666666666
0,C_scene,14,-0.3745710551738739,0.3933333333333333
0,C_scene,15,-0.3867509365081787,0.4093333333333333
0,C_scene,16,-0.40105485916137695,0.398
0,C_scene,17,-0.41883641481399536,0.3933333333333333
0,C_scene,18,-0.42230546474456787,0.39666666666666667
0,C_scene,19,-0.42805370688438416,0.40066666666666667
0,C_scene,20,-0.4303607642650604,0.408
0,C_scene,21,-0.4422108829021454,0.402
0,C_scene,22,-0.45695653557777405,0.404
0,C_scene,23,-0.4656319320201874,0.4106666666666667
0,C_scene,24,-0.4667993187904358,0.412
0,C_scene,25,-0.464510053396225,0.4206666666666667
0,D_latent,1,-15.763190269470215,0.0
0,D_latent,2,-16.272192001342773,0.0
0,D_latent,3,-16.60811996459961,0.0
0,D_latent,4,-16.866147994995117,0.0006666666666666666
0,D_latent,5,-17.088167190551758,0.0013333333333333333
0,D_latent,6,-17.247346878051758,0.0006666666666666666
