seed,arm,space,probe,target,group,metric,score,score_clipped
0,init,z,linear,agent_position,relevant,r2,0.05188363790512085,0.05188363790512085
0,init,z,linear,agent_velocity,relevant,r2,-0.0363391637802124,0.0
0,init,z,linear,active_goal,relevant,r2,-0.10171914100646973,0.0
0,init,z,linear,agent_to_active_goal,relevant,r2,0.029711484909057617,0.029711484909057617
0,init,z,linear,inactive_goal,goal-like irrelevant,r2,-0.05928158760070801,0.0
0,init,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.04910922050476074,0.04910922050476074
0,init,z,linear,ring_position,identity,r2,-0.14299380779266357,0.0
0,init,z,linear,plus_position,identity,r2,-0.12278258800506592,0.0
0,init,z,linear,distractor_positions,irrelevant,r2,-0.03974783420562744,0.0
0,init,z,linear,distractor_hues,irrelevant,r2,-0.10390627384185791,0.0
0,init,z,linear,background_sat_val,irrelevant,r2,0.5539003610610962,0.5539003610610962
0,init,z,linear,background_hue_within_band,irrelevant,r2,-7720.1142578125,0.0
0,init,z,linear,selector_bit,relevant,balanced_acc,0.9984496124031008,0.9984496124031008
0,init,z,mlp,agent_position,relevant,r2,-0.17025959491729736,0.0
0,init,z,mlp,agent_velocity,relevant,r2,-0.16441130638122559,0.0
0,init,z,mlp,active_goal,relevant,r2,-0.4785029888153076,0.0
0,init,z,mlp,agent_to_active_goal,relevant,r2,-0.2161344289779663,0.0
0,init,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.46121084690093994,0.0
0,init,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.2808336019515991,0.0
0,init,z,mlp,ring_position,identity,r2,-0.5207644701004028,0.0
0,init,z,mlp,plus_position,identity,r2,-0.36590075492858887,0.0
0,init,z,mlp,distractor_positions,irrelevant,r2,-0.23602986335754395,0.0
0,init,z,mlp,distractor_hues,irrelevant,r2,-0.42672204971313477,0.0
0,init,z,mlp,background_sat_val,irrelevant,r2,0.6461691856384277,0.6461691856384277
0,init,z,mlp,background_hue_within_band,irrelevant,r2,0.8255190849304199,0.8255190849304199
0,init,z,mlp,selector_bit,relevant,balanced_acc,0.9972202034883721,0.9972202034883721
0,init,h,linear,agent_position,relevant,r2,0.3049963116645813,0.3049963116645813
0,init,h,linear,agent_velocity,relevant,r2,0.740619421005249,0.740619421005249
0,init,h,linear,active_goal,relevant,r2,-0.27943623065948486,0.0
0,init,h,linear,agent_to_active_goal,relevant,r2,0.08563458919525146,0.08563458919525146
0,init,h,linear,inactive_goal,goal-like irrelevant,r2,-0.1913660764694214,0.0
0,init,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.11226516962051392,0.11226516962051392
0,init,h,linear,ring_position,identity,r2,-0.3957369327545166,0.0
0,init,h,linear,plus_position,identity,r2,-0.27193963527679443,0.0
0,init,h,linear,distractor_positions,irrelevant,r2,-0.24630975723266602,0.0
0,init,h,linear,distractor_hues,irrelevant,r2,-0.32535219192504883,0.0
0,init,h,linear,background_sat_val,irrelevant,r2,0.6250067949295044,0.6250067949295044
0,init,h,linear,background_hue_within_band,irrelevant,r2,-8382.154296875,0.0
0,init,h,linear,selector_bit,relevant,balanced_acc,0.9998062015503876,0.9998062015503876
0,init,h,mlp,agent_position,relevant,r2,-0.08215773105621338,0.0
0,init,h,mlp,agent_velocity,relevant,r2,0.675462007522583,0.675462007522583
0,init,h,mlp,active_goal,relevant,r2,-0.8083213567733765,0.0
0,init,h,mlp,agent_to_active_goal,relevant,r2,-0.3071402311325073,0.0
0,init,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.8612991571426392,0.0
0,init,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.3610224723815918,0.0
0,init,h,mlp,ring_position,identity,r2,-0.960030198097229,0.0
0,init,h,mlp,plus_position,identity,r2,-0.77659010887146,0.0
0,init,h,mlp,distractor_positions,irrelevant,r2,-0.734838604927063,0.0
0,init,h,mlp,distractor_hues,irrelevant,r2,-0.9585926532745361,0.0
0,init,h,mlp,background_sat_val,irrelevant,r2,0.6059659719467163,0.6059659719467163
0,init,h,mlp,background_hue_within_band,irrelevant,r2,0.8119215369224548,0.8119215369224548
0,init,h,mlp,selector_bit,relevant,balanced_acc,1.0,1.0
0,A_recon,z,linear,agent_position,relevant,r2,0.4439839720726013,0.4439839720726013
0,A_recon,z,linear,agent_velocity,relevant,r2,-0.03402423858642578,0.0
0,A_recon,z,linear,active_goal,relevant,r2,0.49876224994659424,0.49876224994659424
0,A_recon,z,linear,agent_to_active_goal,relevant,r2,0.6531198024749756,0.6531198024749756
0,A_recon,z,linear,inactive_goal,goal-like irrelevant,r2,-0.01589822769165039,0.0
0,A_recon,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.10237234830856323,0.10237234830856323
0,A_recon,z,linear,ring_position,identity,r2,-0.13698172569274902,0.0
0,A_recon,z,linear,plus_position,identity,r2,0.05757349729537964,0.05757349729537964
0,A_recon,z,linear,distractor_positions,irrelevant,r2,-0.0722343921661377,0.0
0,A_recon,z,linear,distractor_hues,irrelevant,r2,-0.12738454341888428,0.0
0,A_recon,z,linear,background_sat_val,irrelevant,r2,0.41555947065353394,0.41555947065353394
0,A_recon,z,linear,background_hue_within_band,irrelevant,r2,-7002.0498046875,0.0
0,A_recon,z,linear,selector_bit,relevant,balanced_acc,0.99921875,0.99921875
0,A_recon,z,mlp,agent_position,relevant,r2,0.4517117738723755,0.4517117738723755
0,A_recon,z,mlp,agent_velocity,relevant,r2,-0.3096965551376343,0.0
0,A_recon,z,mlp,active_goal,relevant,r2,0.5755898356437683,0.5755898356437683
0,A_recon,z,mlp,agent_to_active_goal,relevant,r2,0.6133425235748291,0.6133425235748291
0,A_recon,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.5004435777664185,0.0
0,A_recon,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.05753326416015625,0.0
0,A_recon,z,mlp,ring_position,identity,r2,-0.21131384372711182,0.0
0,A_recon,z,mlp,plus_position,identity,r2,0.17715221643447876,0.17715221643447876
0,A_recon,z,mlp,distractor_positions,irrelevant,r2,-0.48430049419403076,0.0
0,A_recon,z,mlp,distractor_hues,irrelevant,r2,-0.5191165208816528,0.0
0,A_recon,z,mlp,background_sat_val,irrelevant,r2,0.4489556550979614,0.4489556550979614
0,A_recon,z,mlp,background_hue_within_band,irrelevant,r2,0.6975868940353394,0.6975868940353394
0,A_recon,z,mlp,selector_bit,relevant,balanced_acc,0.9992853682170542,0.9992853682170542
0,A_recon,h,linear,agent_position,relevant,r2,0.46727174520492554,0.46727174520492554
0,A_recon,h,linear,agent_velocity,relevant,r2,0.6981881856918335,0.6981881856918335
0,A_recon,h,linear,active_goal,relevant,r2,0.4104740023612976,0.4104740023612976
0,A_recon,h,linear,agent_to_active_goal,relevant,r2,0.6792319416999817,0.6792319416999817
0,A_recon,h,linear,inactive_goal,goal-like irrelevant,r2,-0.31064367294311523,0.0
0,A_recon,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.011179447174072266,0.0
0,A_recon,h,linear,ring_position,identity,r2,-0.3273959159851074,0.0
0,A_recon,h,linear,plus_position,identity,r2,-0.1155252456665039,0.0
0,A_recon,h,linear,distractor_positions,irrelevant,r2,-0.46682465076446533,0.0
0,A_recon,h,linear,distractor_hues,irrelevant,r2,-0.4612102508544922,0.0
0,A_recon,h,linear,background_sat_val,irrelevant,r2,0.10593068599700928,0.10593068599700928
0,A_recon,h,linear,background_hue_within_band,irrelevant,r2,-7142.56494140625,0.0
0,A_recon,h,linear,selector_bit,relevant,balanced_acc,0.9799176356589148,0.9799176356589148
0,A_recon,h,mlp,agent_position,relevant,r2,0.4361562132835388,0.4361562132835388
0,A_recon,h,mlp,agent_velocity,relevant,r2,0.5914958715438843,0.5914958715438843
0,A_recon,h,mlp,active_goal,relevant,r2,0.3402901291847229,0.3402901291847229
0,A_recon,h,mlp,agent_to_active_goal,relevant,r2,0.6520583629608154,0.6520583629608154
0,A_recon,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.5916407108306885,0.0
0,A_recon,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.17241907119750977,0.0
0,A_recon,h,mlp,ring_position,identity,r2,-0.44996654987335205,0.0
0,A_recon,h,mlp,plus_position,identity,r2,-0.11776566505432129,0.0
0,A_recon,h,mlp,distractor_positions,irrelevant,r2,-1.049543857574463,0.0
0,A_recon,h,mlp,distractor_hues,irrelevant,r2,-0.9944409132003784,0.0
0,A_recon,h,mlp,background_sat_val,irrelevant,r2,-0.20551836490631104,0.0
0,A_recon,h,mlp,background_hue_within_band,irrelevant,r2,0.026291310787200928,0.026291310787200928
0,A_recon,h,mlp,selector_bit,relevant,balanced_acc,0.9784762596899225,0.9784762596899225
0,B_task,z,linear,agent_position,relevant,r2,0.8478979468345642,0.8478979468345642
0,B_task,z,linear,agent_velocity,relevant,r2,-0.013806343078613281,0.0
0,B_task,z,linear,active_goal,relevant,r2,0.8922189474105835,0.8922189474105835
0,B_task,z,linear,agent_to_active_goal,relevant,r2,0.8472575545310974,0.8472575545310974
0,B_task,z,linear,inactive_goal,goal-like irrelevant,r2,0.11102986335754395,0.11102986335754395
0,B_task,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.4899960160255432,0.4899960160255432
0,B_task,z,linear,ring_position,identity,r2,-0.01122283935546875,0.0
0,B_task,z,linear,plus_position,identity,r2,0.014015138149261475,0.014015138149261475
0,B_task,z,linear,distractor_positions,irrelevant,r2,-0.06724774837493896,0.0
0,B_task,z,linear,distractor_hues,irrelevant,r2,-0.14476120471954346,0.0
0,B_task,z,linear,background_sat_val,irrelevant,r2,-0.17223000526428223,0.0
0,B_task,z,linear,background_hue_within_band,irrelevant,r2,-5075.03515625,0.0
0,B_task,z,linear,selector_bit,relevant,balanced_acc,0.8029009205426356,0.8029009205426356
0,B_task,z,mlp,agent_position,relevant,r2,0.8958848714828491,0.8958848714828491
0,B_task,z,mlp,agent_velocity,relevant,r2,-0.23624515533447266,0.0
0,B_task,z,mlp,active_goal,relevant,r2,0.9549914002418518,0.9549914002418518
0,B_task,z,mlp,agent_to_active_goal,relevant,r2,0.9277018904685974,0.9277018904685974
0,B_task,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.06079566478729248,0.0
0,B_task,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.41664648056030273,0.41664648056030273
0,B_task,z,mlp,ring_position,identity,r2,-0.005980372428894043,0.0
0,B_task,z,mlp,plus_position,identity,r2,0.21488726139068604,0.21488726139068604
0,B_task,z,mlp,distractor_positions,irrelevant,r2,-0.4524906873703003,0.0
0,B_task,z,mlp,distractor_hues,irrelevant,r2,-0.5569931268692017,0.0
0,B_task,z,mlp,background_sat_val,irrelevant,r2,-0.49963927268981934,0.0
0,B_task,z,mlp,background_hue_within_band,irrelevant,r2,-0.5635451078414917,0.0
0,B_task,z,mlp,selector_bit,relevant,balanced_acc,0.8678173449612403,0.8678173449612403
0,B_task,h,linear,agent_position,relevant,r2,0.9263550639152527,0.9263550639152527
0,B_task,h,linear,agent_velocity,relevant,r2,0.7799422740936279,0.7799422740936279
0,B_task,h,linear,active_goal,relevant,r2,0.9359011650085449,0.9359011650085449
0,B_task,h,linear,agent_to_active_goal,relevant,r2,0.9404264092445374,0.9404264092445374
0,B_task,h,linear,inactive_goal,goal-like irrelevant,r2,-0.17058324813842773,0.0
0,B_task,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.3652324080467224,0.3652324080467224
0,B_task,h,linear,ring_position,identity,r2,-0.33206069469451904,0.0
0,B_task,h,linear,plus_position,identity,r2,-0.3706005811691284,0.0
0,B_task,h,linear,distractor_positions,irrelevant,r2,-0.4398752450942993,0.0
0,B_task,h,linear,distractor_hues,irrelevant,r2,-0.5148396492004395,0.0
0,B_task,h,linear,background_sat_val,irrelevant,r2,-0.4587986469268799,0.0
0,B_task,h,linear,background_hue_within_band,irrelevant,r2,-6998.00341796875,0.0
0,B_task,h,linear,selector_bit,relevant,balanced_acc,0.678718507751938,0.678718507751938
0,B_task,h,mlp,agent_position,relevant,r2,0.9350606203079224,0.9350606203079224
0,B_task,h,mlp,agent_velocity,relevant,r2,0.7441132068634033,0.7441132068634033
0,B_task,h,mlp,active_goal,relevant,r2,0.9419800043106079,0.9419800043106079
0,B_task,h,mlp,agent_to_active_goal,relevant,r2,0.9511541128158569,0.9511541128158569
0,B_task,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.3946700096130371,0.0
0,B_task,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.27892380952835083,0.27892380952835083
0,B_task,h,mlp,ring_position,identity,r2,-0.36488449573516846,0.0
0,B_task,h,mlp,plus_position,identity,r2,-0.3262789249420166,0.0
0,B_task,h,mlp,distractor_positions,irrelevant,r2,-1.1434462070465088,0.0
0,B_task,h,mlp,distractor_hues,irrelevant,r2,-0.947904109954834,0.0
0,B_task,h,mlp,background_sat_val,irrelevant,r2,-1.0206081867218018,0.0
0,B_task,h,mlp,background_hue_within_band,irrelevant,r2,-0.8709503412246704,0.0
0,B_task,h,mlp,selector_bit,relevant,balanced_acc,0.6880390019379845,0.6880390019379845
0,C_scene,z,linear,agent_position,relevant,r2,0.7338737845420837,0.7338737845420837
0,C_scene,z,linear,agent_velocity,relevant,r2,-0.030105948448181152,0.0
0,C_scene,z,linear,active_goal,relevant,r2,0.8240852355957031,0.8240852355957031
0,C_scene,z,linear,agent_to_active_goal,relevant,r2,0.8026078939437866,0.8026078939437866
0,C_scene,z,linear,inactive_goal,goal-like irrelevant,r2,0.04575091600418091,0.04575091600418091
0,C_scene,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.3213356137275696,0.3213356137275696
0,C_scene,z,linear,ring_position,identity,r2,-0.0362248420715332,0.0
0,C_scene,z,linear,plus_position,identity,r2,0.031683146953582764,0.031683146953582764
0,C_scene,z,linear,distractor_positions,irrelevant,r2,0.35261744260787964,0.35261744260787964
0,C_scene,z,linear,distractor_hues,irrelevant,r2,0.33765411376953125,0.33765411376953125
0,C_scene,z,linear,background_sat_val,irrelevant,r2,0.7266429662704468,0.7266429662704468
0,C_scene,z,linear,background_hue_within_band,irrelevant,r2,-5019.8408203125,0.0
0,C_scene,z,linear,selector_bit,relevant,balanced_acc,0.7296451065891473,0.7296451065891473
0,C_scene,z,mlp,agent_position,relevant,r2,0.7591575384140015,0.7591575384140015
0,C_scene,z,mlp,agent_velocity,relevant,r2,-0.40259480476379395,0.0
0,C_scene,z,mlp,active_goal,relevant,r2,0.8540489077568054,0.8540489077568054
0,C_scene,z,mlp,agent_to_active_goal,relevant,r2,0.8290756940841675,0.8290756940841675
0,C_scene,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.24964940547943115,0.0
0,C_scene,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.21434354782104492,0.21434354782104492
0,C_scene,z,mlp,ring_position,identity,r2,-0.3344827890396118,0.0
0,C_scene,z,mlp,plus_position,identity,r2,-0.232354998588562,0.0
0,C_scene,z,mlp,distractor_positions,irrelevant,r2,0.11518824100494385,0.11518824100494385
0,C_scene,z,mlp,distractor_hues,irrelevant,r2,0.08042728900909424,0.08042728900909424
0,C_scene,z,mlp,background_sat_val,irrelevant,r2,0.6271865367889404,0.6271865367889404
0,C_scene,z,mlp,background_hue_within_band,irrelevant,r2,-0.6616561412811279,0.0
0,C_scene,z,mlp,selector_bit,relevant,balanced_acc,0.6775859980620155,0.6775859980620155
0,C_scene,h,linear,agent_position,relevant,r2,0.8411737084388733,0.8411737084388733
0,C_scene,h,linear,agent_velocity,relevant,r2,0.7569332122802734,0.7569332122802734
0,C_scene,h,linear,active_goal,relevant,r2,0.8891041278839111,0.8891041278839111
