model,seed,mse_k1,mse_kH,mse_ratio,r2_k1,r2_kH,r2_drop
A_recon,0,0.33813735842704773,0.42281079292297363,1.2504113561713825,0.6371923685073853,0.6304273009300232,0.0067650675773620605
A_recon,1,0.07896184176206589,0.1418999582529068,1.7970700161793471,0.9148858785629272,0.8753950595855713,0.03949081897735596
A_recon,2,0.31242507696151733,0.39771172404289246,1.2729827192837029,0.6616784334182739,0.6491492986679077,0.012529134750366211
B_task,0,0.03497123718261719,0.1061408519744873,3.0350899918189254,0.9624772667884827,0.9072238206863403,0.055253446102142334
B_task,1,0.05429328978061676,0.12566477060317993,2.314554360418283,0.9414764642715454,0.8896514773368835,0.051824986934661865
B_task,2,0.06583043187856674,0.1284772902727127,1.9516397903891423,0.9287129640579224,0.8866607546806335,0.04205220937728882
C_scene,0,0.0688004195690155,0.14411857724189758,2.0947339877386715,0.9261799454689026,0.8740280866622925,0.05215185880661011
C_scene,1,0.055105049163103104,0.12475980818271637,2.264035874706238,0.9406014680862427,0.890446126461029,0.05015534162521362
C_scene,2,0.041271135210990906,0.10414283722639084,2.523381939798365,0.9553079605102539,0.9081279635429382,0.047179996967315674
D_latent,0,0.05983967334032059,0.1288226842880249,2.1527972513383165,0.935794472694397,0.8873980045318604,0.04839646816253662
D_latent,1,0.04812962934374809,0.11440073698759079,2.376929524441707,0.9481203556060791,0.8995426297187805,0.048577725887298584
D_latent,2,0.049786023795604706,0.10210193693637848,2.0508152519983414,0.9460873007774353,0.9099283814430237,0.03615891933441162
chance,0,0.9329482316970825,1.1472731828689575,1.2297286643461518,-0.0010155439376831055,-0.002814650535583496,0.0017991065979003906
chance,1,0.9283882975578308,1.1425719261169434,1.2307047914353646,-0.0007230043411254883,-0.0033131837844848633,0.002590179443359375
chance,2,0.9247647523880005,1.1361559629440308,1.2285891736359535,-0.0014171600341796875,-0.002286672592163086,0.0008695125579833984
colourblind_true,0,0.5618641376495361,0.6909179091453552,1.2296885721087196,0.39714258909225464,0.39607882499694824,0.0010637640953063965
colourblind_true,1,0.5592828392982483,0.6877434253692627,1.2296880523496811,0.3971410393714905,0.396079957485199,0.001061081886291504
colourblind_true,2,0.5567124485969543,0.6845830678939819,1.2296888090418878,0.3971424102783203,0.3960789442062378,0.0010634660720825195
hold_current,0,0.006883876398205757,0.8001676201820374,116.23794122605055,0.9926138520240784,0.3005852699279785,0.6920285820960999
hold_current,1,0.006852252408862114,0.7964903116226196,116.23773674660723,0.9926138520240784,0.30058735609054565,0.6920264959335327
hold_current,2,0.006820729002356529,0.7928284406661987,116.23807959417246,0.9926139116287231,0.3005877733230591,0.6920261383056641
