seed,vs,horizon,delta_mse,b_worse_frac
0,A_recon,0,-0.3030191659927368,0.024
0,A_recon,1,-0.30316662788391113,0.03
0,A_recon,2,-0.3017960488796234,0.038
0,A_recon,3,-0.30133330821990967,0.046
0,A_recon,4,-0.300021767616272,0.058
0,A_recon,5,-0.2983166575431824,0.068
0,A_recon,6,-0.29836714267730713,0.084
0,A_recon,7,-0.2980097532272339,0.094
0,A_recon,8,-0.2967911958694458,0.106
0,A_recon,9,-0.2972792088985443,0.112
0,A_recon,10,-0.2984434962272644,0.112
0,A_recon,11,-0.2994392514228821,0.116
0,A_recon,12,-0.3025975823402405,0.122
0,A_recon,13,-0.3068344295024872,0.124
0,A_recon,14,-0.31096071004867554,0.128
0,A_recon,15,-0.3166699707508087,0.13
0,C_scene,0,-0.032979778945446014,0.248
0,C_scene,1,-0.03382935747504234,0.256
0,C_scene,2,-0.03433779999613762,0.27
0,C_scene,3,-0.03487580269575119,0.272
0,C_scene,4,-0.03533528000116348,0.278
0,C_scene,5,-0.035893552005290985,0.28
0,C_scene,6,-0.036359626799821854,0.298
0,C_scene,7,-0.036552008241415024,0.29
0,C_scene,8,-0.03658624365925789,0.304
0,C_scene,9,-0.036647576838731766,0.314
0,C_scene,10,-0.036728136241436005,0.318
0,C_scene,11,-0.03681406378746033,0.328
0,C_scene,12,-0.03704339638352394,0.324
0,C_scene,13,-0.03735024482011795,0.332
0,C_scene,14,-0.03751850873231888,0.358
0,C_scene,15,-0.03797781839966774,0.37
0,D_latent,0,-0.026485281065106392,0.278
0,D_latent,1,-0.02486850693821907,0.286
0,D_latent,2,-0.0233664158731699,0.308
0,D_latent,3,-0.02214924618601799,0.33
0,D_latent,4,-0.02104821801185608,0.352
0,D_latent,5,-0.020360928028821945,0.376
0,D_latent,6,-0.019800804555416107,0.386
0,D_latent,7,-0.019138524308800697,0.41
0,D_latent,8,-0.018621496856212616,0.428
0,D_latent,9,-0.0183667354285717,0.438
0,D_latent,10,-0.018473129719495773,0.438
0,D_latent,11,-0.01886807195842266,0.446
0,D_latent,12,-0.01954222470521927,0.44
0,D_latent,13,-0.020543672144412994,0.438
0,D_latent,14,-0.02159585803747177,0.422
0,D_latent,15,-0.022681964561343193,0.42
1,A_recon,0,-0.024532439187169075,0.324
1,A_recon,1,-0.024668384343385696,0.326
1,A_recon,2,-0.023609058931469917,0.326
1,A_recon,3,-0.022195670753717422,0.326
1,A_recon,4,-0.0207672081887722,0.328
1,A_recon,5,-0.01945001259446144,0.34
1,A_recon,6,-0.018453048542141914,0.352
1,A_recon,7,-0.017701314762234688,0.374
1,A_recon,8,-0.017189713194966316,0.372
1,A_recon,9,-0.01685526594519615,0.366
1,A_recon,10,-0.016778381541371346,0.376
1,A_recon,11,-0.016553988680243492,0.374
1,A_recon,12,-0.0165810938924551,0.39
1,A_recon,13,-0.016619864851236343,0.392
1,A_recon,14,-0.016330022364854813,0.398
1,A_recon,15,-0.016235116869211197,0.392
1,C_scene,0,-0.0005137424450367689,0.504
1,C_scene,1,-0.0008117680554278195,0.528
1,C_scene,2,-0.0002621946332510561,0.526
1,C_scene,3,0.0003191771393176168,0.512
1,C_scene,4,0.0012509713415056467,0.51
1,C_scene,5,0.002069940557703376,0.512
1,C_scene,6,0.0026883494574576616,0.506
1,C_scene,7,0.0032126172445714474,0.506
1,C_scene,8,0.003219048958271742,0.524
1,C_scene,9,0.002853970741853118,0.526
1,C_scene,10,0.002187102334573865,0.534
1,C_scene,11,0.0014090740587562323,0.536
1,C_scene,12,0.0009514541598036885,0.528
1,C_scene,13,0.0008600871660746634,0.526
1,C_scene,14,0.0008328448748216033,0.528
1,C_scene,15,0.0009049553773365915,0.53
1,D_latent,0,0.00814411323517561,0.574
1,D_latent,1,0.0061636497266590595,0.558
1,D_latent,2,0.005413589533418417,0.552
1,D_latent,3,0.005123520269989967,0.548
1,D_latent,4,0.0050431909039616585,0.554
1,D_latent,5,0.004889458883553743,0.548
1,D_latent,6,0.0048430501483380795,0.534
1,D_latent,7,0.004814052954316139,0.534
1,D_latent,8,0.00450400123372674,0.532
1,D_latent,9,0.004577683284878731,0.538
1,D_latent,10,0.004814563784748316,0.546
1,D_latent,11,0.005175101570785046,0.544
1,D_latent,12,0.0061010695062577724,0.54
1,D_latent,13,0.007602673955261707,0.544
1,D_latent,14,0.00927338283509016,0.544
1,D_latent,15,0.011264167726039886,0.558
2,A_recon,0,-0.24372893571853638,0.094
2,A_recon,1,-0.24659490585327148,0.09
2,A_recon,2,-0.24745777249336243,0.086
2,A_recon,3,-0.24817147850990295,0.094
2,A_recon,4,-0.24846100807189941,0.104
2,A_recon,5,-0.2488575428724289,0.116
2,A_recon,6,-0.24989110231399536,0.12
2,A_recon,7,-0.25115856528282166,0.122
2,A_recon,8,-0.25229576230049133,0.14
2,A_recon,9,-0.2535119652748108,0.15
2,A_recon,10,-0.2550275921821594,0.162
2,A_recon,11,-0.25675055384635925,0.162
2,A_recon,12,-0.258856862783432,0.168
2,A_recon,13,-0.26205337047576904,0.172
2,A_recon,14,-0.26561734080314636,0.178
2,A_recon,15,-0.26923519372940063,0.178
2,C_scene,0,0.02570960484445095,0.65
2,C_scene,1,0.024559203535318375,0.64
2,C_scene,2,0.023457037284970284,0.634
2,C_scene,3,0.02241510897874832,0.62
2,C_scene,4,0.021826408803462982,0.616
2,C_scene,5,0.021158920601010323,0.59
2,C_scene,6,0.020241394639015198,0.572
2,C_scene,7,0.019797183573246002,0.574
2,C_scene,8,0.019624290987849236,0.574
2,C_scene,9,0.019683856517076492,0.58
2,C_scene,10,0.020243225619196892,0.584
2,C_scene,11,0.021054375916719437,0.582
2,C_scene,12,0.021728508174419403,0.578
2,C_scene,13,0.022533467039465904,0.598
2,C_scene,14,0.0234823077917099,0.578
2,C_scene,15,0.024334395304322243,0.582
2,D_latent,0,0.015035581775009632,0.574
2,D_latent,1,0.016044272109866142,0.578
2,D_latent,2,0.016498783603310585,0.58
2,D_latent,3,0.016619691625237465,0.594
2,D_latent,4,0.016952870413661003,0.586
2,D_latent,5,0.01702079176902771,0.588
2,D_latent,6,0.01696552149951458,0.58
2,D_latent,7,0.01731274463236332,0.582
2,D_latent,8,0.017541203647851944,0.584
2,D_latent,9,0.018042057752609253,0.57
2,D_latent,10,0.019073542207479477,0.578
2,D_latent,11,0.02011137083172798,0.58
2,D_latent,12,0.021340686827898026,0.59
2,D_latent,13,0.023011934012174606,0.608
2,D_latent,14,0.024658530950546265,0.612
2,D_latent,15,0.026375100016593933,0.606
