seed,model,horizon,mse,r2,pred_spread_ratio
0,A_recon,0,0.3369367718696594,0.6327217817306519,0.781049370765686
0,A_recon,1,0.33813735842704773,0.6371923685073853,0.783669650554657
0,A_recon,2,0.33967509865760803,0.641228437423706,0.7880838513374329
0,A_recon,3,0.34349325299263,0.6430623531341553,0.7897993326187134
0,A_recon,4,0.34717950224876404,0.645032525062561,0.7895934581756592
0,A_recon,5,0.3506712019443512,0.6472152471542358,0.7881530523300171
0,A_recon,6,0.35650014877319336,0.647220253944397,0.7859371304512024
0,A_recon,7,0.36234116554260254,0.6471835374832153,0.7830104827880859
0,A_recon,8,0.36719369888305664,0.64793860912323,0.7794171571731567
0,A_recon,9,0.373698890209198,0.6471014022827148,0.7755169868469238
0,A_recon,10,0.3805657923221588,0.6457581520080566,0.7711743116378784
0,A_recon,11,0.3868245482444763,0.6448166370391846,0.7662445902824402
0,A_recon,12,0.3951725959777832,0.6419994831085205,0.7612459063529968
0,A_recon,13,0.4042772650718689,0.638361394405365,0.7560174465179443
0,A_recon,14,0.4128038287162781,0.6350665092468262,0.750363826751709
0,A_recon,15,0.42281079292297363,0.6304273009300232,0.7453362941741943
0,B_task,0,0.03391774743795395,0.9630279541015625,0.9777929782867432
0,B_task,1,0.03497123718261719,0.9624772667884827,0.9733585119247437
0,B_task,2,0.03787930682301521,0.9599910974502563,0.9742774963378906
0,B_task,3,0.04215995594859123,0.9561898708343506,0.9735057353973389
0,B_task,4,0.047158315777778625,0.9517838358879089,0.9731935858726501
0,B_task,5,0.05235498398542404,0.9473294615745544,0.9739952087402344
0,B_task,6,0.05813303217291832,0.9424736499786377,0.9755915403366089
0,B_task,7,0.06433067470788956,0.9373603463172913,0.9775129556655884
0,B_task,8,0.07040230184793472,0.9324990510940552,0.9796515703201294
0,B_task,9,0.07641894370317459,0.9278345704078674,0.9813936948776245
0,B_task,10,0.08212351053953171,0.9235570430755615,0.9823782444000244
0,B_task,11,0.08738524466753006,0.9197626113891602,0.9828974008560181
0,B_task,12,0.09257426112890244,0.9161337614059448,0.9826517701148987
0,B_task,13,0.09744339436292648,0.9128338694572449,0.9813731908798218
0,B_task,14,0.10184399783611298,0.909966230392456,0.9795820116996765
0,B_task,15,0.1061408519744873,0.9072238206863403,0.9770923256874084
0,C_scene,0,0.06689741462469101,0.9270784258842468,0.9541999697685242
0,C_scene,1,0.0688004195690155,0.9261799454689026,0.9547079205513
0,C_scene,2,0.07221707701683044,0.9237228631973267,0.9527264833450317
0,C_scene,3,0.07703585922718048,0.919948935508728,0.9513297080993652
0,C_scene,4,0.08249367028474808,0.915655791759491,0.9506571292877197
0,C_scene,5,0.08824829012155533,0.9112198352813721,0.9507917761802673
0,C_scene,6,0.09449253976345062,0.906493604183197,0.9508405327796936
0,C_scene,7,0.10088274627923965,0.9017691016197205,0.9508219957351685
0,C_scene,8,0.10698824375867844,0.8974208235740662,0.951106607913971
0,C_scene,9,0.1130666583776474,0.893226683139801,0.9508616924285889
0,C_scene,10,0.11885129660367966,0.8893697261810303,0.9502424597740173
0,C_scene,11,0.12419960647821426,0.8859595656394958,0.9498989582061768
0,C_scene,12,0.12961778044700623,0.8825747966766357,0.9491113424301147
0,C_scene,13,0.13479329645633698,0.879423201084137,0.9481230974197388
0,C_scene,14,0.13936229050159454,0.876798689365387,0.9476311206817627
0,C_scene,15,0.14411857724189758,0.8740280866622925,0.9470933079719543
0,D_latent,0,0.060402970761060715,0.93415766954422,0.9458922147750854
0,D_latent,1,0.05983967334032059,0.935794472694397,0.9487301707267761
0,D_latent,2,0.06124568730592728,0.9353110790252686,0.9504773616790771
0,D_latent,3,0.06430929899215698,0.9331735968589783,0.9514760375022888
0,D_latent,4,0.06820645928382874,0.9302635192871094,0.9530059099197388
0,D_latent,5,0.07271577417850494,0.9268459677696228,0.9547111988067627
0,D_latent,6,0.07793358713388443,0.9228797554969788,0.9558944702148438
0,D_latent,7,0.08346918225288391,0.9187249541282654,0.9568068385124207
0,D_latent,8,0.08902386575937271,0.9146448373794556,0.9575563669204712
0,D_latent,9,0.09478583931922913,0.9104899764060974,0.9574992060661316
0,D_latent,10,0.10059637576341629,0.9063619375228882,0.9570237994194031
0,D_latent,11,0.1062534973025322,0.9024377465248108,0.9561243653297424
