model,seed,return,success,time_in_radius,chose_active,final_dist_px,normalised
A_recon,0,-0.43643403,0.0,0.0013333333333333333,0.44,14.632354,0.032603934
A_recon,1,-0.22439505,0.03,0.02,0.955,5.552049,0.37642717
A_recon,2,-0.49185014,0.0,0.0024444444444444444,0.41,18.319487,-0.05725381
B_task,0,-0.08543051,0.155,0.13277777777777777,1.0,3.0749316,0.6017595
B_task,1,-0.12727484,0.18,0.08811111111111111,0.995,3.0793264,0.5339085
B_task,2,-0.17914078,0.105,0.048888888888888885,0.97,4.148551,0.4498074
C_scene,0,-0.15116404,0.11,0.07922222222222222,1.0,4.175101,0.49517193
C_scene,1,-0.097441226,0.25,0.12666666666666665,1.0,2.7786655,0.582284
C_scene,2,-0.09229241,0.235,0.13033333333333333,1.0,2.6306977,0.59063286
D_latent,0,-0.15001112,0.115,0.07644444444444445,0.995,3.800099,0.4970414
D_latent,1,-0.05490363,0.315,0.165,1.0,2.3179104,0.6512591
D_latent,2,-0.07210122,0.24,0.14155555555555555,1.0,2.4822292,0.62337303
noop,-1,-0.45654118,0.005,0.0047777777777777775,0.455,14.880446,0.0
oracle,-1,0.16016813,1.0,0.5785555555555555,1.0,0.01895671,1.0
oracle_colourblind,-1,-0.14460666,0.495,0.30244444444444446,0.515,7.648973,0.50580484
oracle_myopic,-1,-0.0014855766,0.83,0.28588888888888886,1.0,0.97466254,0.737877
oracle_wrong,-1,-0.46062297,0.0,0.0028888888888888888,0.0,15.491528,-0.0066186544
random,-1,-0.47028065,0.0,0.0017777777777777779,0.47,15.622786,-0.022278676
