model,return_mean,return_std,success_mean,success_std,time_in_radius_mean,time_in_radius_std,chose_active_mean,chose_active_std,final_dist_px_mean,final_dist_px_std,normalised_mean,normalised_std
A_recon,-0.3842264,0.14116403,0.01,0.017320508075688773,0.007925925925925925,0.010471202917286029,0.6016666666666667,0.3063630743633007,12.83463,6.5708237,0.11725909,0.22889882
B_task,-0.13061537,0.046944357,0.14666666666666667,0.038188130791298666,0.08992592592592592,0.04197387978686435,0.9883333333333333,0.016072751268321656,3.4342697,0.6185897,0.5284918,0.07612073
C_scene,-0.11363256,0.032605007,0.19833333333333333,0.0768656837173347,0.11207407407407406,0.028509546448218483,1.0,0.0,3.1948214,0.85216457,0.55602956,0.052869335
D_latent,-0.09233866,0.050680608,0.2233333333333333,0.1010362971081845,0.12766666666666668,0.04588243161455371,0.9983333333333334,0.0028867513459480834,2.8667462,0.8124719,0.5905579,0.08217909
noop,-0.45654118,,0.005,,0.0047777777777777775,,0.455,,14.880446,,0.0,
oracle,0.16016813,,1.0,,0.5785555555555555,,1.0,,0.01895671,,1.0,
oracle_colourblind,-0.14460666,,0.495,,0.30244444444444446,,0.515,,7.648973,,0.50580484,
oracle_myopic,-0.0014855766,,0.83,,0.28588888888888886,,1.0,,0.97466254,,0.737877,
oracle_wrong,-0.46062297,,0.0,,0.0028888888888888888,,0.0,,15.491528,,-0.0066186544,
random,-0.47028065,,0.0,,0.0017777777777777779,,0.47,,15.622786,,-0.022278676,
