seed,model,condition,episode,return,success,time_in_radius,chose_active,final_dist_px
0,A_recon,in_distribution,0,-0.32538474,0.0,0.0,1.0,8.929179
0,A_recon,in_distribution,1,-0.405418,0.0,0.0,1.0,12.579443
0,A_recon,in_distribution,2,-0.62635046,0.0,0.0,0.0,17.917807
0,A_recon,in_distribution,3,-0.38001704,0.0,0.0,0.0,10.396379
0,A_recon,in_distribution,4,-0.23259218,0.0,0.0,1.0,5.9772587
0,A_recon,in_distribution,5,-0.6841339,0.0,0.0,0.0,22.655638
0,A_recon,in_distribution,6,-0.38315994,0.0,0.0,1.0,11.888473
0,A_recon,in_distribution,7,-0.50366116,0.0,0.0,0.0,12.457233
0,A_recon,in_distribution,8,-0.4423315,0.0,0.0,1.0,12.870615
0,A_recon,in_distribution,9,-0.50054103,0.0,0.0,0.0,15.373312
0,A_recon,in_distribution,10,-0.65203696,0.0,0.0,0.0,22.508194
0,A_recon,in_distribution,11,-0.6646437,0.0,0.0,0.0,19.960453
0,A_recon,in_distribution,12,-0.2174612,0.0,0.0,1.0,8.586798
0,A_recon,in_distribution,13,-0.720517,0.0,0.0,0.0,22.093542
0,A_recon,in_distribution,14,-0.32817635,0.0,0.0,0.0,10.89592
0,A_recon,in_distribution,15,-0.6812689,0.0,0.0,0.0,21.801508
0,A_recon,in_distribution,16,-0.2818671,0.0,0.0,1.0,10.951475
0,A_recon,in_distribution,17,-0.14988261,0.0,0.0,1.0,5.6668077
0,A_recon,in_distribution,18,-0.60789675,0.0,0.0,0.0,22.743889
0,A_recon,in_distribution,19,-0.6461234,0.0,0.0,0.0,19.061214
0,A_recon,in_distribution,20,-0.35607648,0.0,0.0,0.0,13.388557
0,A_recon,in_distribution,21,-0.090775445,0.0,0.0,1.0,1.7636358
0,A_recon,in_distribution,22,-0.21597064,0.0,0.0,1.0,6.251808
0,A_recon,in_distribution,23,0.11379014,0.0,0.4222222222222222,1.0,1.5899535
0,A_recon,in_distribution,24,-0.31776255,0.0,0.0,1.0,8.112577
0,A_recon,in_distribution,25,-0.4599566,0.0,0.0,0.0,14.814629
0,A_recon,in_distribution,26,-0.16033289,0.0,0.0,1.0,6.1844974
0,A_recon,in_distribution,27,-0.08692403,0.0,0.0,1.0,2.8778217
0,A_recon,in_distribution,28,-0.1406749,0.0,0.0,1.0,2.8650687
0,A_recon,in_distribution,29,-0.48590678,0.0,0.0,1.0,17.968725
