arm,seed,epochs_trained,max_epochs,stopped_early,epochs_to_r2_0.8,final_r2_kH,best_r2_kH,r2_gain_last_quarter,converged,minutes
A_recon,0,40,120,True,,-0.07907748222351074,0.016369640827178955,-0.08172023296356201,True,3.31
B_task,0,75,120,True,35.0,0.941555917263031,0.944705605506897,-0.0018978118896484375,True,3.53
C_scene,0,30,120,True,,-0.4850609302520752,-0.031296491622924805,-0.1251157522201538,True,1.42
D_latent,0,85,120,True,40.0,0.9664592742919922,0.9664592742919922,0.0008490085601806641,True,5.05
A_recon,1,95,120,True,40.0,0.9246576428413391,0.9325380325317383,0.00839841365814209,True,7.93
B_task,1,85,120,True,30.0,0.954434871673584,0.9616780877113342,-0.004758477210998535,True,3.97
C_scene,1,120,120,False,,0.4857068657875061,0.5506381392478943,-0.0020681023597717285,True,5.66
D_latent,1,60,120,True,30.0,0.9388923645019531,0.9474286437034607,-0.006509363651275635,True,3.55
A_recon,2,75,120,True,30.0,0.9642685651779175,0.9705478549003601,-0.0055716633796691895,True,6.27
B_task,2,35,120,True,,-0.030123353004455566,0.025814414024353027,-0.055937767028808594,True,1.64
C_scene,2,35,120,True,,-0.22315847873687744,-0.09134352207183838,0.10500967502593994,False,1.65
D_latent,2,80,120,True,40.0,0.9345076084136963,0.9435990452766418,-0.00885629653930664,True,4.74
