model,seed,mse_k1,mse_kH,mse_ratio,r2_k1,r2_kH,r2_drop
A_recon,0,0.7918500900268555,0.999588131904602,1.2623451641846768,0.11534172296524048,0.11459845304489136,0.0007432699203491211
A_recon,1,0.08271805197000504,0.13608667254447937,1.645187106120762,0.9096929430961609,0.8822059631347656,0.027486979961395264
A_recon,2,0.03582524135708809,0.09089977294206619,2.5373108316570074,0.9604964256286621,0.920531153678894,0.039965271949768066
B_task,0,0.06326700747013092,0.12920144200325012,2.04216142298571,0.929317831993103,0.8855577111244202,0.04376012086868286
B_task,1,0.04674733802676201,0.10304471850395203,2.2042906153278885,0.9489638209342957,0.91080641746521,0.03815740346908569
B_task,2,0.7441614866256714,0.9351650476455688,1.2566695058165194,0.17943167686462402,0.18243491649627686,-0.003003239631652832
C_scene,0,0.9839001893997192,1.326507568359375,1.3482135511821394,-0.09921741485595703,-0.17497575283050537,0.07575833797454834
C_scene,1,0.41519105434417725,0.5071247220039368,1.2214249721853354,0.5467169284820557,0.5610423684120178,-0.014325439929962158
C_scene,2,0.8979256749153137,1.1820050477981567,1.3163729257542787,0.009879708290100098,-0.033364176750183105,0.0432438850402832
D_latent,0,0.04190666228532791,0.09385664016008377,2.2396591625705358,0.9531816840171814,0.9168649315834045,0.036316752433776855
D_latent,1,0.048899248242378235,0.10637958347797394,2.1754850493955185,0.9466144442558289,0.9079198241233826,0.03869462013244629
D_latent,2,0.06345931440591812,0.11870904266834259,1.8706322906203974,0.9300249814987183,0.89621901512146,0.0338059663772583
chance,0,0.8966736197471619,1.1394624710083008,1.2707661359878066,-0.0017676353454589844,-0.009297609329223633,0.0075299739837646484
chance,1,0.9167527556419373,1.1687105894088745,1.2748372799714236,-0.0008608102798461914,-0.011613965034484863,0.010753154754638672
chance,2,0.9085805416107178,1.154244065284729,1.2703816694538743,-0.0018690824508666992,-0.00909423828125,0.007225155830383301
colourblind_true,0,0.589309573173523,0.7982982993125916,1.354633176945747,0.34162086248397827,0.292894184589386,0.048726677894592285
colourblind_true,1,0.6030523180961609,0.8169153928756714,1.354634363158867,0.3416202664375305,0.2928934097290039,0.04872685670852661
colourblind_true,2,0.5970739126205444,0.8088157176971436,1.354632484523179,0.341621458530426,0.29289543628692627,0.048726022243499756
hold_current,0,0.00508277490735054,0.5666904449462891,111.49233544195714,0.9943215250968933,0.4980446696281433,0.49627685546875
hold_current,1,0.005201324820518494,0.5799064636230469,111.49206858517998,0.9943214654922485,0.49804383516311646,0.4962776303291321
hold_current,2,0.005149749107658863,0.5741565823554993,111.49214657886851,0.9943215250968933,0.4980454444885254,0.4962760806083679
