model,seed,return,success,time_in_radius,chose_active,final_dist_px,normalised
A_recon,0,-0.45754337,0.005,0.0017777777777777776,0.475,14.920758,-0.0016250646
A_recon,1,-0.37610862,0.005,0.0038888888888888888,0.635,12.29442,0.13042217
A_recon,2,-0.23666805,0.055,0.03133333333333333,0.955,6.056061,0.35652637
B_task,0,-0.29450044,0.03,0.017222222222222222,0.775,8.800069,0.2627506
B_task,1,-0.26779994,0.05,0.01977777777777778,0.87,7.2331347,0.3060457
B_task,2,-0.45591745,0.005,0.0074444444444444445,0.455,14.995332,0.0010113887
C_scene,0,-0.46259892,0.005,0.003333333333333333,0.47,15.1026535,-0.009822682
C_scene,1,-0.3980216,0.01,0.006,0.555,12.635878,0.09489004
C_scene,2,-0.45369053,0.0,0.00044444444444444447,0.475,14.78856,0.004622359
D_latent,0,-0.26184613,0.015,0.020444444444444442,0.885,7.4172215,0.31569988
D_latent,1,-0.18035124,0.075,0.061,0.95,5.2678437,0.4478446
D_latent,2,-0.27927622,0.055,0.02488888888888889,0.9,7.4284143,0.2874368
noop,-1,-0.45654118,0.005,0.0047777777777777775,0.455,14.880446,0.0
oracle,-1,0.16016813,1.0,0.5785555555555555,1.0,0.01895671,1.0
oracle_colourblind,-1,-0.14460666,0.495,0.30244444444444446,0.515,7.648973,0.50580484
oracle_myopic,-1,-0.0014855766,0.83,0.28588888888888886,1.0,0.97466254,0.737877
oracle_wrong,-1,-0.46062297,0.0,0.0028888888888888888,0.0,15.491528,-0.0066186544
random,-1,-0.47028065,0.0,0.0017777777777777779,0.47,15.622786,-0.022278676
