seed,arm,space,probe,target,group,metric,score,score_clipped
0,ceiling,frame,linear,agent_position,relevant,r2,0.9994726777076721,0.9994726777076721
0,ceiling,frame,mlp,agent_position,relevant,r2,0.9994726777076721,0.9994726777076721
0,ceiling,frame,linear,active_goal,relevant,r2,0.9653171300888062,0.9653171300888062
0,ceiling,frame,mlp,active_goal,relevant,r2,0.9653171300888062,0.9653171300888062
0,ceiling,frame,linear,agent_to_active_goal,relevant,r2,0.9185607433319092,0.9185607433319092
0,ceiling,frame,mlp,agent_to_active_goal,relevant,r2,0.9185607433319092,0.9185607433319092
0,ceiling,frame,linear,inactive_goal,goal-like irrelevant,r2,0.9615387916564941,0.9615387916564941
0,ceiling,frame,mlp,inactive_goal,goal-like irrelevant,r2,0.9615387916564941,0.9615387916564941
0,ceiling,frame,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.9289965629577637,0.9289965629577637
0,ceiling,frame,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.9289965629577637,0.9289965629577637
0,ceiling,frame,linear,ring_position,identity,r2,0.9907195568084717,0.9907195568084717
0,ceiling,frame,mlp,ring_position,identity,r2,0.9907195568084717,0.9907195568084717
0,ceiling,frame,linear,plus_position,identity,r2,0.9816806316375732,0.9816806316375732
0,ceiling,frame,mlp,plus_position,identity,r2,0.9816806316375732,0.9816806316375732
0,ceiling,frame,linear,distractor_positions,irrelevant,r2,0.22405529022216797,0.22405529022216797
0,ceiling,frame,mlp,distractor_positions,irrelevant,r2,0.22405529022216797,0.22405529022216797
0,ceiling,frame,linear,distractor_heatmap,irrelevant,r2,0.9045847654342651,0.9045847654342651
0,ceiling,frame,mlp,distractor_heatmap,irrelevant,r2,0.9045847654342651,0.9045847654342651
0,ceiling,frame,linear,distractor_hues,irrelevant,r2,-0.033014655113220215,0.0
0,ceiling,frame,mlp,distractor_hues,irrelevant,r2,-0.033014655113220215,0.0
0,ceiling,frame,linear,background_sat_val,irrelevant,r2,0.9918686747550964,0.9918686747550964
0,ceiling,frame,mlp,background_sat_val,irrelevant,r2,0.9918686747550964,0.9918686747550964
0,ceiling,frame,linear,background_hue_within_band,irrelevant,r2,0.9986749887466431,0.9986749887466431
0,ceiling,frame,mlp,background_hue_within_band,irrelevant,r2,0.9986749887466431,0.9986749887466431
0,ceiling,frame,linear,selector_bit,relevant,balanced_acc,1.0,1.0
0,ceiling,frame,mlp,selector_bit,relevant,balanced_acc,1.0,1.0
0,init,z,linear,agent_position,relevant,r2,0.06562930345535278,0.06562930345535278
0,init,z,linear,agent_velocity,relevant,r2,-0.023859024047851562,0.0
0,init,z,linear,active_goal,relevant,r2,-0.1376187801361084,0.0
0,init,z,linear,agent_to_active_goal,relevant,r2,0.01858341693878174,0.01858341693878174
0,init,z,linear,inactive_goal,goal-like irrelevant,r2,-0.05623054504394531,0.0
0,init,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.046829164028167725,0.046829164028167725
0,init,z,linear,ring_position,identity,r2,-0.18430078029632568,0.0
0,init,z,linear,plus_position,identity,r2,-0.1409670114517212,0.0
0,init,z,linear,distractor_positions,irrelevant,r2,-0.046774864196777344,0.0
0,init,z,linear,distractor_heatmap,irrelevant,r2,-0.023554086685180664,0.0
0,init,z,linear,distractor_hues,irrelevant,r2,-0.0877232551574707,0.0
0,init,z,linear,background_sat_val,irrelevant,r2,0.5400537848472595,0.5400537848472595
0,init,z,linear,background_hue_within_band,irrelevant,r2,-7761.51171875,0.0
0,init,z,linear,selector_bit,relevant,balanced_acc,0.9978682170542635,0.9978682170542635
0,init,z,mlp,agent_position,relevant,r2,-0.14699876308441162,0.0
0,init,z,mlp,agent_velocity,relevant,r2,-0.20881998538970947,0.0
0,init,z,mlp,active_goal,relevant,r2,-0.524898886680603,0.0
0,init,z,mlp,agent_to_active_goal,relevant,r2,-0.28807294368743896,0.0
0,init,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.518222451210022,0.0
0,init,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.3282902240753174,0.0
0,init,z,mlp,ring_position,identity,r2,-0.6702700853347778,0.0
0,init,z,mlp,plus_position,identity,r2,-0.46681129932403564,0.0
0,init,z,mlp,distractor_positions,irrelevant,r2,-0.19067108631134033,0.0
0,init,z,mlp,distractor_heatmap,irrelevant,r2,-0.03754448890686035,0.0
0,init,z,mlp,distractor_hues,irrelevant,r2,-0.40646111965179443,0.0
0,init,z,mlp,background_sat_val,irrelevant,r2,0.6577654480934143,0.6577654480934143
0,init,z,mlp,background_hue_within_band,irrelevant,r2,0.8020825386047363,0.8020825386047363
0,init,z,mlp,selector_bit,relevant,balanced_acc,0.998062015503876,0.998062015503876
0,init,h,linear,agent_position,relevant,r2,0.28793102502822876,0.28793102502822876
0,init,h,linear,agent_velocity,relevant,r2,0.7822656631469727,0.7822656631469727
0,init,h,linear,active_goal,relevant,r2,-0.36926424503326416,0.0
0,init,h,linear,agent_to_active_goal,relevant,r2,-0.015307307243347168,0.0
0,init,h,linear,inactive_goal,goal-like irrelevant,r2,-0.2663137912750244,0.0
0,init,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.0005797147750854492,0.0005797147750854492
0,init,h,linear,ring_position,identity,r2,-0.39880168437957764,0.0
0,init,h,linear,plus_position,identity,r2,-0.31801557540893555,0.0
0,init,h,linear,distractor_positions,irrelevant,r2,-0.25565242767333984,0.0
0,init,h,linear,distractor_heatmap,irrelevant,r2,-0.15553498268127441,0.0
0,init,h,linear,distractor_hues,irrelevant,r2,-0.3617976903915405,0.0
0,init,h,linear,background_sat_val,irrelevant,r2,0.6016305685043335,0.6016305685043335
0,init,h,linear,background_hue_within_band,irrelevant,r2,-8318.37109375,0.0
0,init,h,linear,selector_bit,relevant,balanced_acc,0.9996124031007751,0.9996124031007751
0,init,h,mlp,agent_position,relevant,r2,0.043805718421936035,0.043805718421936035
0,init,h,mlp,agent_velocity,relevant,r2,0.7334591746330261,0.7334591746330261
0,init,h,mlp,active_goal,relevant,r2,-0.8485493659973145,0.0
0,init,h,mlp,agent_to_active_goal,relevant,r2,-0.29811787605285645,0.0
0,init,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.8791323900222778,0.0
0,init,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.48800742626190186,0.0
0,init,h,mlp,ring_position,identity,r2,-0.9755139350891113,0.0
0,init,h,mlp,plus_position,identity,r2,-0.7344459295272827,0.0
0,init,h,mlp,distractor_positions,irrelevant,r2,-0.5851420164108276,0.0
0,init,h,mlp,distractor_heatmap,irrelevant,r2,-0.16446280479431152,0.0
0,init,h,mlp,distractor_hues,irrelevant,r2,-0.8135910034179688,0.0
0,init,h,mlp,background_sat_val,irrelevant,r2,0.6011593341827393,0.6011593341827393
0,init,h,mlp,background_hue_within_band,irrelevant,r2,0.8178426027297974,0.8178426027297974
0,init,h,mlp,selector_bit,relevant,balanced_acc,0.9998062015503876,0.9998062015503876
0,A_recon,z,linear,agent_position,relevant,r2,0.05935555696487427,0.05935555696487427
0,A_recon,z,linear,agent_velocity,relevant,r2,-0.025634050369262695,0.0
0,A_recon,z,linear,active_goal,relevant,r2,-0.10592985153198242,0.0
0,A_recon,z,linear,agent_to_active_goal,relevant,r2,0.004097044467926025,0.004097044467926025
0,A_recon,z,linear,inactive_goal,goal-like irrelevant,r2,-0.11532080173492432,0.0
0,A_recon,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.04037582874298096,0.0
0,A_recon,z,linear,ring_position,identity,r2,-0.13943517208099365,0.0
0,A_recon,z,linear,plus_position,identity,r2,-0.05116569995880127,0.0
0,A_recon,z,linear,distractor_positions,irrelevant,r2,-0.05028367042541504,0.0
0,A_recon,z,linear,distractor_heatmap,irrelevant,r2,-0.008210062980651855,0.0
0,A_recon,z,linear,distractor_hues,irrelevant,r2,-0.09695577621459961,0.0
0,A_recon,z,linear,background_sat_val,irrelevant,r2,0.3895527124404907,0.3895527124404907
0,A_recon,z,linear,background_hue_within_band,irrelevant,r2,-8161.140625,0.0
0,A_recon,z,linear,selector_bit,relevant,balanced_acc,0.995203488372093,0.995203488372093
0,A_recon,z,mlp,agent_position,relevant,r2,-0.3347212076187134,0.0
0,A_recon,z,mlp,agent_velocity,relevant,r2,-0.32984793186187744,0.0
0,A_recon,z,mlp,active_goal,relevant,r2,-0.5923206806182861,0.0
0,A_recon,z,mlp,agent_to_active_goal,relevant,r2,-0.33948981761932373,0.0
0,A_recon,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.5511623620986938,0.0
0,A_recon,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.6342267990112305,0.0
0,A_recon,z,mlp,ring_position,identity,r2,-0.6847436428070068,0.0
0,A_recon,z,mlp,plus_position,identity,r2,-0.4617483615875244,0.0
0,A_recon,z,mlp,distractor_positions,irrelevant,r2,-0.29803991317749023,0.0
0,A_recon,z,mlp,distractor_heatmap,irrelevant,r2,-0.050557613372802734,0.0
0,A_recon,z,mlp,distractor_hues,irrelevant,r2,-0.3895578384399414,0.0
0,A_recon,z,mlp,background_sat_val,irrelevant,r2,0.5372544527053833,0.5372544527053833
