seed,arm,space,probe,selectivity_goal,selectivity_vector,selector_bit
0,A_recon,h,linear,0.0,0.0,0.8920300387596899
0,A_recon,h,mlp,0.0,0.0,0.9169270833333334
0,A_recon,z,linear,0.0,0.004097044467926025,0.995203488372093
0,A_recon,z,mlp,0.0,0.0,0.9928657945736434
0,B_task,h,linear,0.0,0.0,0.853421753875969
0,B_task,h,mlp,0.0,0.0,0.8768653100775194
0,B_task,z,linear,0.0,0.0,0.903954699612403
0,B_task,z,mlp,0.0,0.0,0.9439983042635659
0,C_scene,h,linear,0.09814631938934326,0.12641525268554688,0.5361070736434108
0,C_scene,h,mlp,0.0,0.0,0.545766715116279
0,C_scene,z,linear,0.15627962350845337,0.14901858568191528,0.5736615794573643
0,C_scene,z,mlp,0.005565226078033447,0.0,0.578015988372093
0,D_latent,h,linear,0.6667646169662476,0.5215404629707336,1.0
0,D_latent,h,mlp,0.7938255667686462,0.5697345733642578,1.0
0,D_latent,z,linear,0.5234410762786865,0.3101848363876343,1.0
0,D_latent,z,mlp,0.8387191295623779,0.5111270546913147,1.0
0,ceiling,frame,linear,0.0037783384323120117,-0.010435819625854492,1.0
0,ceiling,frame,mlp,0.0037783384323120117,-0.010435819625854492,1.0
0,init,h,linear,0.0,-0.0005797147750854492,0.9996124031007751
0,init,h,mlp,0.0,0.0,0.9998062015503876
0,init,z,linear,0.0,-0.028245747089385986,0.9978682170542635
0,init,z,mlp,0.0,0.0,0.998062015503876
1,A_recon,h,linear,0.7373841404914856,0.4379517436027527,0.9829699612403101
1,A_recon,h,mlp,0.844825029373169,0.5687888264656067,0.975890261627907
1,A_recon,z,linear,0.584975004196167,0.27299851179122925,1.0
1,A_recon,z,mlp,0.873929500579834,0.49397802352905273,0.9996124031007751
1,B_task,h,linear,0.4523864984512329,0.5358084440231323,0.9270833333333334
1,B_task,h,mlp,0.4102855920791626,0.6473699808120728,0.9474018895348837
1,B_task,z,linear,0.37224555015563965,0.40737593173980713,0.9512112403100775
1,B_task,z,mlp,0.455410897731781,0.47759824991226196,0.969500968992248
1,C_scene,h,linear,0.48312515020370483,0.6305242776870728,0.6089328972868218
1,C_scene,h,mlp,0.4782944321632385,0.7321907877922058,0.6313832364341085
1,C_scene,z,linear,0.3097074627876282,0.5746201872825623,0.6409399224806202
1,C_scene,z,mlp,0.37956148386001587,0.6465420126914978,0.6102592054263566
1,D_latent,h,linear,0.6473315358161926,0.38926929235458374,1.0
