arm,seed,epochs_trained,max_epochs,stopped_early,epochs_to_r2_0.8,final_r2_kH,best_r2_kH,learned,r2_gain_last_quarter,converged,status,minutes
A_recon,0,120,120,False,,-0.2970961332321167,0.024160802364349365,False,0.0044564008712768555,False,never learned within the ceiling,10.11
B_task,0,120,120,False,,-0.696536660194397,0.006395518779754639,False,0.0036014318466186523,False,never learned within the ceiling,5.67
C_scene,0,120,120,False,,-0.16976678371429443,-0.01668870449066162,False,0.07229828834533691,False,never learned within the ceiling,5.72
D_latent,0,90,120,True,45.0,0.9568639397621155,0.9646963477134705,True,-0.00783240795135498,True,converged,5.41
B_task_nopark,0,60,120,True,,0.7407464981079102,0.7589825391769409,True,-0.014035224914550781,True,converged,2.83
D_latent_nopark,0,60,120,True,,0.7368903160095215,0.7446157932281494,True,0.008547604084014893,True,converged,3.62
A_recon,1,70,120,True,40.0,0.947973370552063,0.9489378333091736,True,0.004414916038513184,True,converged,5.95
B_task,1,85,120,True,,0.7480720281600952,0.7480720281600952,True,0.004295468330383301,True,converged,4.01
C_scene,1,120,120,False,,0.7640202641487122,0.7640202641487122,True,0.05715543031692505,False,still improving at the ceiling,5.71
D_latent,1,65,120,True,30.0,0.9548451900482178,0.9548451900482178,True,0.0038112401962280273,True,converged,3.88
B_task_nopark,1,60,120,True,,0.6753206849098206,0.7157429456710815,True,-0.01583760976791382,True,converged,2.81
D_latent_nopark,1,100,120,True,80.0,0.7803416848182678,0.8008354902267456,True,-0.01152503490447998,True,converged,5.99
A_recon,2,75,120,True,30.0,0.9699738025665283,0.970553994178772,True,0.00034683942794799805,True,converged,6.36
B_task,2,95,120,True,45.0,0.9446084499359131,0.9474106431007385,True,0.0036181211471557617,True,converged,4.46
C_scene,2,120,120,False,,0.3788200616836548,0.42194879055023193,False,0.031945884227752686,False,never learned within the ceiling,5.71
D_latent,2,75,120,True,40.0,0.9601691365242004,0.9601691365242004,True,0.0017228126525878906,True,converged,4.49
B_task_nopark,2,80,120,True,,0.6905475854873657,0.7335784435272217,True,-0.04129856824874878,True,converged,3.75
D_latent_nopark,2,80,120,True,40.0,0.8251386284828186,0.8256334662437439,True,-0.000494837760925293,True,converged,4.8
A_recon,3,120,120,False,,0.13441622257232666,0.13441622257232666,False,0.3665276765823364,False,never learned within the ceiling,10.2
B_task,3,120,120,False,,-0.6629180908203125,0.03462493419647217,False,-0.020854830741882324,False,never learned within the ceiling,5.66
C_scene,3,120,120,False,,-0.35261058807373047,-0.04677295684814453,False,-0.007210373878479004,False,never learned within the ceiling,5.7
D_latent,3,120,120,False,,-0.2613496780395508,0.07307225465774536,False,0.013670206069946289,False,never learned within the ceiling,7.21
B_task_nopark,3,60,120,True,,0.6787338256835938,0.6975771188735962,True,0.00812673568725586,True,converged,2.81
D_latent_nopark,3,110,120,True,,0.7860004305839539,0.7932316660881042,True,0.038482606410980225,False,still improving at the ceiling,6.63
A_recon,4,75,120,True,35.0,0.9703535437583923,0.9737863540649414,True,-0.0034328103065490723,True,converged,6.4
B_task,4,60,120,True,25.0,0.9350982904434204,0.9467619061470032,True,-0.007944643497467041,True,converged,2.82
C_scene,4,120,120,False,,0.7427195310592651,0.7533861398696899,True,0.0029757022857666016,True,converged,5.72
D_latent,4,65,120,True,30.0,0.9540479183197021,0.9586641788482666,True,0.0058907270431518555,True,converged,3.9
B_task_nopark,4,100,120,True,,0.7397719621658325,0.764351487159729,True,0.017679870128631592,False,still improving at the ceiling,4.7
D_latent_nopark,4,90,120,True,60.0,0.8217654228210449,0.8279145359992981,True,-0.002343297004699707,True,converged,5.4
