seed,vs,horizon,delta_mse,b_worse_frac
0,A_recon,0,0.06090932711958885,0.516
0,A_recon,1,0.06568766385316849,0.512
0,A_recon,2,0.07048363238573074,0.506
0,A_recon,3,0.07484690099954605,0.506
0,A_recon,4,0.07978100329637527,0.5
0,A_recon,5,0.08295361697673798,0.506
0,A_recon,6,0.08545230329036713,0.502
0,A_recon,7,0.09019006043672562,0.504
0,A_recon,8,0.09205019474029541,0.502
0,A_recon,9,0.09449528157711029,0.508
0,A_recon,10,0.09985409677028656,0.518
0,A_recon,11,0.10208305716514587,0.512
0,A_recon,12,0.10384008288383484,0.516
0,A_recon,13,0.10904555022716522,0.522
0,A_recon,14,0.1109655424952507,0.52
0,A_recon,15,0.11198177933692932,0.516
0,C_scene,0,0.23053115606307983,0.578
0,C_scene,1,0.24360871315002441,0.576
0,C_scene,2,0.2556650936603546,0.58
0,C_scene,3,0.26930856704711914,0.594
0,C_scene,4,0.28055858612060547,0.59
0,C_scene,5,0.2917194068431854,0.594
0,C_scene,6,0.3037513494491577,0.59
0,C_scene,7,0.31485867500305176,0.584
0,C_scene,8,0.3241718113422394,0.584
0,C_scene,9,0.3348587155342102,0.584
0,C_scene,10,0.3457324802875519,0.602
0,C_scene,11,0.35463446378707886,0.596
0,C_scene,12,0.3637296259403229,0.58
0,C_scene,13,0.3734380900859833,0.582
0,C_scene,14,0.3817361891269684,0.578
0,C_scene,15,0.38963040709495544,0.586
0,D_latent,0,0.9460679888725281,0.968
0,D_latent,1,0.9758189916610718,0.964
0,D_latent,2,1.0027804374694824,0.964
0,D_latent,3,1.030207872390747,0.962
0,D_latent,4,1.0563315153121948,0.962
0,D_latent,5,1.0805987119674683,0.97
0,D_latent,6,1.1049443483352661,0.962
0,D_latent,7,1.129457950592041,0.96
0,D_latent,8,1.1508374214172363,0.954
0,D_latent,9,1.1734116077423096,0.948
0,D_latent,10,1.1975315809249878,0.942
0,D_latent,11,1.2184292078018188,0.938
0,D_latent,12,1.2400161027908325,0.936
0,D_latent,13,1.262882113456726,0.928
0,D_latent,14,1.2826181650161743,0.92
