seed,vs,delta_return,ci95_lo,ci95_hi,b_worse_frac
0,A_recon,0.012210381217300892,-0.0006793297798139974,0.0248456007335335,0.565
0,C_scene,0.005387796089053154,-0.008589936210773886,0.019561829417943946,0.495
0,D_latent,0.1772695928812027,0.1554670248180628,0.19920373298227786,0.88
1,A_recon,0.07958688586950302,0.06299957744777203,0.09586358144879341,0.78
1,C_scene,0.07726471871137619,0.061725729051977395,0.09217716287821531,0.8
1,D_latent,0.22709137201309204,0.2036521028727293,0.24964944832026958,0.945
2,A_recon,0.07441683858633041,0.056311439629644154,0.09130488708615302,0.735
2,C_scene,-0.11640729755163193,-0.13967410437762737,-0.09402015618979931,0.23
2,D_latent,0.05142396315932274,0.03436276288703084,0.06756710354238749,0.705
3,A_recon,-0.0001599860261194408,-0.014086343161761761,0.013342282664962068,0.51
3,C_scene,-0.003162357723340392,-0.01650320882909,0.009557206206955014,0.515
3,D_latent,-0.0008077991078607738,-0.015284061105921865,0.013154647289775312,0.56
4,A_recon,-0.04333028197288513,-0.05995333222672343,-0.02657414232380689,0.36
4,C_scene,-0.0613790899515152,-0.07709474824368953,-0.04502247571945191,0.225
4,D_latent,-0.009793896228075027,-0.02481907014735043,0.005088584043551231,0.445
