model,return_mean,return_std,success_mean,success_std,time_in_radius_mean,time_in_radius_std,chose_active_mean,chose_active_std,final_dist_px_mean,final_dist_px_std,normalised_mean,normalised_std
A_recon,-0.3434361,0.10937423,0.034999999999999996,0.039210967853395305,0.01877777777777778,0.01959197996661761,0.6980000000000001,0.22281157959136685,10.552279,4.384023,0.18340096,0.17735137
B_task,-0.36798087,0.11461242,0.026000000000000002,0.03209361307176243,0.014888888888888887,0.017390042560238704,0.624,0.20902751015117602,11.806073,4.5382457,0.14360139,0.18584514
B_task_nopark,-0.1136706,0.035551034,0.174,0.05962382074305538,0.10675555555555553,0.031755955988455785,0.994,0.01083974169433939,3.1534295,0.35592964,0.5559679,0.057646353
C_scene,-0.38764012,0.088976055,0.014000000000000002,0.01816590212458495,0.008822222222222223,0.009224430793105346,0.619,0.16376049584683114,12.207826,3.4596374,0.111723736,0.14427552
D_latent,-0.27894422,0.10882767,0.046,0.033052987762076824,0.03246666666666667,0.024916948468615786,0.8230000000000001,0.20547505931377655,8.242436,4.0870595,0.28797516,0.17646511
D_latent_nopark,-0.07260476,0.04736231,0.22400000000000003,0.11409425927714331,0.15135555555555555,0.05950720466806862,1.0,0.0,2.7818067,0.79985404,0.62255657,0.07679843
noop,-0.45654118,,0.005,,0.0047777777777777775,,0.455,,14.880446,,0.0,
oracle,0.16016813,,1.0,,0.5785555555555555,,1.0,,0.01895671,,1.0,
oracle_colourblind,-0.14460666,,0.495,,0.30244444444444446,,0.515,,7.648973,,0.50580484,
oracle_myopic,-0.0014855766,,0.83,,0.28588888888888886,,1.0,,0.97466254,,0.737877,
oracle_wrong,-0.46062297,,0.0,,0.0028888888888888888,,0.0,,15.491528,,-0.0066186544,
random,-0.47028065,,0.0,,0.0017777777777777779,,0.47,,15.622786,,-0.022278676,
