seed,object,contrast_real,contrast_recon,ratio
0,agent,0.28105880088166096,0.044458403908614816,0.15818129725116345
0,goals,0.26471626600184056,0.03342674049899924,0.12627336706766543
0,distractors,0.227032854046607,0.029287964047457926,0.1290026290151666
1,agent,0.28105880088166096,0.08709784772968905,0.3098908042219856
1,goals,0.26471626600184056,0.05770629880794712,0.2179921985426742
1,distractors,0.227032854046607,0.023856217868429227,0.10507779982245231
2,agent,0.28105880088166096,0.14625783763663805,0.520379781021119
2,goals,0.26471626600184056,0.0783593194969488,0.29601136593940186
2,distractors,0.227032854046607,0.025292476789467912,0.11140398816590458
3,agent,0.28105880088166096,0.048466839400391794,0.1724431571087555
3,goals,0.26471626600184056,0.03407929317518384,0.12873846005551787
3,distractors,0.227032854046607,0.025283798210575845,0.11136576224172022
4,agent,0.28105880088166096,0.1494734958597976,0.5318209697399338
4,goals,0.26471626600184056,0.07020255971128618,0.2651982651966422
4,distractors,0.227032854046607,0.024213101172528402,0.1066497385344028
